Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
08:13:54:943,2.784,0.014,0.008,-0.007,28.243,-65.749,19.305
08:13:54:997,2.838,0.004,0.013,0.000,28.232,-65.763,19.281
08:13:54:998,2.839,0.022,-0.006,0.006,28.208,-65.757,19.223
08:13:54:998,2.839,0.010,0.007,0.000,28.195,-65.744,19.248
08:13:55:072,2.914,0.014,0.002,0.000,28.188,-65.723,19.271
08:13:55:073,2.915,0.013,0.004,0.002,28.175,-65.728,19.260
08:13:55:26,3.101,0.015,-0.001,0.007,28.252,-65.786,19.339
08:13:55:261,3.102,0.014,-0.003,0.000,28.255,-65.799,19.352
08:13:55:338,3.179,0.017,-0.012,0.008,28.246,-65.829,19.325
08:13:55:339,3.180,0.013,-0.016,0.012,28.237,-65.866,19.295
08:13:55:34,3.181,0.011,-0.008,0.008,28.237,-65.874,19.304
08:13:55:387,3.228,0.017,-0.012,-0.002,28.230,-65.869,19.333
08:13:55:388,3.229,0.024,-0.009,0.001,28.213,-65.869,19.332
08:13:55:471,3.313,0.023,-0.012,0.005,28.174,-65.878,19.305
08:13:55:471,3.313,0.018,-0.017,0.006,28.168,-65.886,19.306
08:13:55:521,3.362,0.007,0.009,0.005,28.140,-65.897,19.333
08:13:55:521,3.362,0.016,-0.013,0.000,28.107,-65.885,19.325
08:13:55:657,3.498,0.023,-0.009,0.004,28.078,-65.884,19.294
08:13:55:657,3.498,0.013,0.003,0.004,28.065,-65.895,19.281
08:13:55:658,3.499,0.016,-0.001,0.004,28.030,-65.894,19.254
08:13:55:658,3.500,0.014,-0.003,0.003,28.020,-65.890,19.266
08:13:55:707,3.548,0.020,-0.007,0.001,27.991,-65.896,19.244
08:13:55:707,3.548,0.026,0.004,0.001,27.972,-65.893,19.228
08:13:55:785,3.626,0.022,0.006,-0.002,27.948,-65.902,19.237
08:13:55:785,3.626,0.023,-0.001,0.001,27.914,-65.908,19.208
08:13:55:786,3.627,0.022,-0.007,0.005,27.895,-65.912,19.190
08:13:55:836,3.677,0.018,0.004,0.007,27.875,-65.922,19.169
08:13:55:836,3.677,0.026,-0.001,-0.006,27.856,-65.899,19.174
08:13:55:916,3.757,0.023,-0.006,-0.004,27.810,-65.866,19.181
08:13:55:916,3.757,0.014,0.003,-0.011,27.798,-65.866,19.187
08:13:55:917,3.758,0.014,-0.007,-0.004,27.790,-65.865,19.200
08:13:55:965,3.806,0.011,-0.010,-0.005,27.784,-65.865,19.203
08:13:55:966,3.807,0.006,-0.003,-0.002,27.779,-65.869,19.220
08:13:56:014,3.855,0.020,-0.007,0.001,27.764,-65.872,19.219
08:13:56:101,3.942,0.010,-0.004,0.002,27.736,-65.874,19.214
08:13:56:103,3.944,0.021,0.005,-0.002,27.709,-65.884,19.206
08:13:56:104,3.945,0.017,-0.008,-0.002,27.701,-65.918,19.204
08:13:56:104,3.945,0.021,0.000,0.002,27.694,-65.937,19.197
08:13:56:176,4.018,0.023,-0.010,0.004,27.647,-65.959,19.179
08:13:56:231,4.072,0.008,0.002,0.008,27.624,-65.972,19.213
08:13:56:28,4.121,0.015,-0.004,0.004,27.634,-65.970,19.228
08:13:56:281,4.122,0.013,-0.004,0.003,27.642,-65.987,19.221
08:13:56:361,4.202,0.005,0.004,0.006,27.651,-66.015,19.247
08:13:56:362,4.204,0.014,-0.013,0.005,27.663,-66.029,19.247
08:13:56:363,4.204,0.014,-0.007,0.007,27.659,-66.047,19.246
08:13:56:497,4.339,0.018,-0.004,0.008,27.661,-66.078,19.310
08:13:56:498,4.340,0.014,-0.011,0.016,27.652,-66.116,19.291
08:13:56:498,4.340,0.020,-0.009,0.016,27.643,-66.125,19.275
08:13:56:546,4.387,0.013,-0.008,0.004,27.622,-66.142,19.334
08:13:56:546,4.387,0.018,0.000,0.004,27.619,-66.148,19.352
08:13:56:752,4.593,0.020,0.005,-0.004,27.503,-66.131,19.295
08:13:56:753,4.595,0.026,-0.003,0.005,27.474,-66.114,19.258
08:13:56:805,4.646,0.008,-0.004,-0.004,27.475,-66.090,19.296
08:13:56:806,4.647,0.012,0.019,-0.020,27.507,-66.076,19.337
08:13:56:886,4.727,0.020,-0.015,-0.013,27.490,-66.081,19.247
08:13:56:887,4.728,0.019,-0.008,0.003,27.496,-66.112,19.205
08:13:56:888,4.729,0.006,-0.020,0.000,27.569,-66.150,19.262
08:13:56:937,4.778,0.020,-0.018,0.023,27.583,-66.181,19.259
08:13:56:937,4.778,0.006,-0.022,0.016,27.578,-66.193,19.233
08:13:56:989,4.830,0.021,-0.001,0.003,27.551,-66.157,19.259
08:13:56:99,4.831,0.017,-0.017,0.010,27.536,-66.151,19.250
08:13:57:206,5.047,0.025,0.005,0.004,27.467,-66.082,19.310
08:13:57:206,5.047,0.015,0.001,-0.005,27.483,-66.056,19.359
08:13:57:207,5.048,0.019,-0.002,0.008,27.486,-66.055,19.314
08:13:57:252,5.093,0.018,0.002,0.009,27.495,-66.045,19.259
08:13:57:336,5.177,0.024,0.004,0.002,27.500,-65.997,19.238
08:13:57:336,5.177,0.018,0.005,-0.006,27.499,-65.941,19.259
08:13:57:337,5.178,0.010,0.003,-0.011,27.540,-65.889,19.318
08:13:57:337,5.178,0.015,0.003,-0.005,27.575,-65.875,19.340
08:13:57:381,5.222,0.014,-0.008,-0.001,27.601,-65.852,19.304
08:13:57:467,5.308,0.011,-0.007,-0.003,27.632,-65.825,19.313
08:13:57:467,5.308,0.013,0.004,-0.010,27.692,-65.800,19.352
08:13:57:468,5.309,0.023,-0.011,0.009,27.702,-65.791,19.296
08:13:57:469,5.310,0.016,-0.012,0.002,27.728,-66.222,19.299
08:13:57:515,5.356,0.004,-0.020,0.001,27.816,-66.207,19.376
08:13:57:653,5.494,0.007,-0.009,0.006,27.838,-66.203,19.349
08:13:57:653,5.494,0.003,-0.014,0.002,27.862,-66.283,19.351
08:13:57:654,5.495,0.009,-0.008,0.005,27.862,-66.283,19.351
08:13:57:654,5.495,0.011,-0.011,0.009,27.852,-66.354,19.317
08:13:57:672,5.513,0.020,-0.001,0.020,27.834,-66.375,19.234
08:13:57:672,5.513,0.020,-0.011,0.021,27.801,-66.449,19.079
08:13:57:727,5.568,0.016,-0.004,0.009,27.782,-66.704,19.088
08:13:57:727,5.568,0.015,-0.007,-0.013,27.777,-66.666,19.133
08:13:57:777,5.618,0.018,-0.002,-0.004,27.747,-66.653,19.156
08:13:57:777,5.618,0.016,-0.004,0.002,27.731,-66.628,19.168
08:13:57:8,5.641,0.014,0.007,-0.009,27.724,-66.617,19.210
08:13:57:856,5.697,0.014,0.004,-0.007,27.726,-66.716,19.244
08:13:57:908,5.749,0.007,-0.025,0.005,27.727,-66.714,19.271
08:13:57:909,5.750,0.008,0.015,-0.007,27.738,-66.820,19.327
08:13:57:988,5.829,0.016,-0.018,0.010,27.718,-66.827,19.344
08:13:57:989,5.830,0.013,-0.021,0.005,27.716,-66.981,19.373
08:13:58:042,5.883,0.016,0.002,0.001,27.735,-67.009,19.437
08:13:58:042,5.883,0.020,-0.008,0.009,27.692,-67.049,19.406
08:13:58:043,5.884,0.024,-0.001,0.007,27.661,-67.041,19.423
08:13:58:25,6.091,0.017,0.015,0.007,27.597,-67.297,19.560
08:13:58:25,6.091,0.023,-0.001,-0.002,27.610,-67.270,19.567
08:13:58:301,6.142,0.010,-0.007,-0.002,27.626,-67.253,19.572
08:13:58:302,6.143,0.011,-0.003,-0.004,27.662,-67.236,19.610
08:13:58:382,6.223,0.011,-0.008,0.001,27.685,-67.276,19.601
08:13:58:382,6.223,0.015,0.000,0.003,27.706,-67.266,19.601
08:13:58:435,6.276,0.005,-0.007,0.002,27.753,-67.258,19.600
08:13:58:436,6.277,0.011,-0.008,0.005,27.783,-67.244,19.614
08:13:58:436,6.277,0.002,-0.015,-0.005,27.825,-67.100,19.689
08:13:58:695,6.536,0.018,-0.005,0.019,27.821,-67.322,19.709
08:13:58:696,6.537,0.024,-0.003,-0.003,27.827,-67.321,19.706
08:13:58:749,6.590,0.006,-0.006,0.013,27.833,-67.372,19.694
08:13:58:749,6.590,0.012,0.005,-0.003,27.857,-67.367,19.729
08:13:58:771,6.612,0.019,-0.029,0.010,27.859,-67.403,19.694
08:13:58:88,6.721,0.013,0.007,-0.010,27.820,-67.279,19.883
08:13:58:903,6.744,0.020,-0.002,0.000,27.817,-67.252,19.951
08:13:59:017,6.858,0.010,0.001,0.011,27.803,-67.266,19.972
08:13:59:017,6.858,0.019,0.012,0.000,27.806,-67.244,20.010
08:13:59:018,6.859,0.017,0.005,0.003,27.815,-67.229,20.043
08:13:59:018,6.859,0.019,0.007,-0.008,27.824,-67.201,20.080
08:13:59:087,6.928,0.012,0.002,0.003,27.833,-67.209,20.065
08:13:59:355,7.196,0.014,-0.010,0.003,28.101,-67.330,20.151
08:13:59:356,7.197,0.020,-0.001,0.003,28.085,-67.325,20.142
08:13:59:356,7.197,0.011,-0.007,0.003,28.093,-67.322,20.166
08:13:59:404,7.245,0.018,-0.001,0.015,28.078,-67.340,20.089
08:13:59:489,7.330,0.016,-0.004,0.007,28.072,-67.326,20.086
08:13:59:489,7.330,0.017,0.000,-0.005,28.085,-67.309,20.125
08:13:59:49,7.331,0.013,0.000,-0.001,28.097,-67.301,20.122
08:13:59:491,7.332,0.006,-0.011,0.007,28.119,-67.288,20.087
08:13:59:533,7.374,0.014,-0.018,0.008,28.143,-67.280,20.077
08:13:59:59,7.431,0.003,-0.015,0.004,28.162,-67.276,20.095
08:13:59:591,7.432,0.020,-0.013,0.001,28.136,-67.252,20.103
08:13:59:591,7.432,0.016,-0.010,0.002,28.122,-67.216,20.134
08:13:59:851,7.692,0.014,0.007,0.004,28.115,-67.233,20.259
08:13:59:874,7.715,0.015,-0.009,0.007,28.121,-67.239,20.254
08:13:59:933,7.774,0.019,-0.010,0.010,28.140,-67.237,20.283
08:13:59:933,7.774,0.008,0.001,-0.002,28.171,-67.227,20.332
08:13:59:982,7.823,0.022,-0.005,0.007,28.154,-67.232,20.293
08:13:59:982,7.823,0.013,-0.024,0.009,28.169,-67.230,20.305
08:14:00:063,7.904,0.003,-0.006,0.006,28.204,-67.227,20.369
08:14:00:064,7.905,0.011,-0.016,0.012,28.200,-67.229,20.362
08:14:00:065,7.906,0.017,-0.004,0.011,28.182,-67.214,20.354
08:14:00:2,8.041,0.016,-0.010,0.008,28.166,-67.195,20.364
08:14:00:2,8.041,0.014,-0.002,0.008,28.156,-67.198,20.360
08:14:00:2,8.041,0.015,-0.004,0.005,28.151,-67.198,20.363
