Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
21:26:24:468,0.000,-0.008,0.003,-0.007,-3.308,128.813,-18.697
21:26:24:468,0.000,-0.016,-0.008,-0.004,-3.310,128.837,-18.672
21:26:24:469,0.001,-0.010,-0.005,-0.005,-3.289,128.873,-18.611
21:26:24:47,0.002,-0.009,0.003,-0.018,-3.313,128.869,-18.588
21:26:24:518,0.050,-0.001,0.024,-0.015,-3.422,128.780,-18.648
21:26:24:518,0.050,0.002,-0.010,0.004,-3.433,128.729,-18.675
21:26:24:617,0.149,-0.002,-0.009,0.008,-3.439,128.716,-18.599
21:26:24:676,0.208,0.004,-0.012,0.025,-3.472,128.676,-18.583
21:26:24:677,0.209,0.001,-0.002,0.019,-3.486,128.625,-18.617
21:26:24:677,0.209,0.000,-0.001,-0.013,-3.464,128.597,-18.693
21:26:25:127,0.659,0.017,0.018,-0.009,-2.907,128.673,-18.387
21:26:25:127,0.659,0.013,0.017,0.001,-2.994,128.607,-18.332
21:26:25:127,0.659,-0.010,0.023,-0.015,-2.764,128.703,-18.002
21:26:25:221,0.753,0.000,0.030,-0.021,-2.795,128.699,-18.001
21:26:25:283,0.814,-0.007,-0.008,0.000,-2.859,128.740,-17.980
21:26:25:284,0.815,-0.008,0.006,0.004,-2.902,128.702,-17.908
21:26:25:284,0.815,-0.017,0.021,-0.016,-2.866,128.775,-17.820
21:26:25:285,0.816,0.001,0.026,-0.021,-2.800,128.817,-17.831
21:26:25:439,0.971,0.000,0.032,-0.028,-2.751,128.856,-17.778
21:26:25:439,0.971,-0.006,-0.038,0.018,-2.783,128.941,-17.579
21:26:25:44,0.972,0.003,-0.030,0.052,-2.900,128.909,-17.477
21:26:25:441,0.973,0.004,0.011,-0.009,-3.000,128.748,-17.615
21:26:25:597,1.129,-0.003,-0.020,-0.003,-2.812,128.848,-17.617
21:26:25:597,1.129,-0.003,0.022,-0.017,-2.886,128.775,-17.679
21:26:25:597,1.129,0.002,0.012,0.002,-2.833,128.753,-17.651
21:26:25:599,1.131,-0.002,0.028,-0.010,-2.867,128.674,-17.710
21:26:26:244,1.776,-0.004,-0.032,0.036,-2.872,128.315,-17.530
21:26:26:438,1.969,-0.007,-0.037,0.023,-2.990,128.235,-17.496
21:26:26:438,1.969,0.002,-0.019,0.024,-3.073,128.103,-17.556
21:26:26:439,1.971,0.003,-0.024,0.017,-3.008,128.066,-17.510
21:26:26:44,1.972,-0.002,0.010,0.007,-2.972,128.031,-17.566
21:26:27:043,2.575,-0.001,0.022,-0.016,-2.756,128.144,-17.669
21:26:27:043,2.575,-0.005,-0.001,-0.008,-2.750,128.182,-17.691
21:26:27:044,2.576,-0.023,0.009,-0.009,-2.678,128.252,-17.698
21:26:27:067,2.598,-0.002,0.020,-0.014,-2.667,128.244,-17.708
21:26:27:068,2.599,0.009,0.024,-0.009,-2.653,128.203,-17.692
21:26:27:069,2.600,0.002,0.010,0.002,-2.703,128.134,-17.776
21:26:27:069,2.601,-0.002,0.009,0.004,-2.774,128.144,-17.761
21:26:27:198,2.730,-0.016,-0.009,0.007,-2.800,128.157,-17.752
21:26:27:198,2.730,-0.015,0.005,-0.020,-2.943,128.142,-17.925
21:26:27:224,2.756,-0.014,0.010,0.000,-2.977,128.138,-17.930
21:26:27:225,2.757,-0.014,-0.006,-0.018,-2.975,128.138,-17.946
21:26:27:225,2.757,-0.007,-0.014,-0.001,-2.940,128.140,-17.957
21:26:27:227,2.758,0.002,0.015,-0.008,-2.610,127.885,-18.112
21:26:27:356,2.888,-0.009,-0.031,0.017,-2.568,128.407,-18.206
21:26:27:357,2.888,0.000,0.034,-0.026,-2.559,128.445,-18.373
21:26:27:357,2.889,-0.008,-0.011,-0.009,-2.540,128.608,-18.291
21:26:27:357,2.889,-0.002,0.000,0.001,-2.575,128.636,-18.294
21:26:27:382,2.914,-0.009,0.004,-0.009,-2.637,128.510,-18.339
21:26:27:382,2.914,0.000,0.002,-0.008,-2.694,128.514,-18.456
21:26:27:383,2.915,-0.013,0.015,-0.048,-3.286,128.808,-18.223
21:26:27:383,2.915,0.013,0.012,0.000,-3.143,128.708,-18.426
21:26:27:54,3.071,-0.008,-0.009,0.028,-3.045,128.660,-18.263
21:26:27:541,3.073,0.026,0.010,0.015,-3.024,128.552,-18.280
21:26:27:541,3.073,0.015,0.030,0.004,-2.867,128.337,-18.454
21:26:27:542,3.074,0.024,0.039,-0.007,-2.766,128.267,-18.533
21:26:27:566,3.098,0.019,0.038,0.000,-2.750,128.275,-18.492
21:26:27:567,3.099,-0.001,0.012,-0.011,-2.742,128.281,-18.516
21:26:27:567,3.099,0.003,0.014,0.002,-2.810,128.322,-18.486
