Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
14:23:47:987,0.000,-0.008,0.006,-0.012,42.165,110.256,-42.025
14:23:47:988,0.001,-0.007,0.007,-0.005,42.202,110.180,-42.069
14:23:48:022,0.035,0.000,-0.003,-0.009,42.222,110.064,-42.089
14:23:48:034,0.047,0.003,-0.003,0.002,42.245,110.000,-42.136
14:23:48:059,0.072,0.011,-0.006,-0.002,42.275,109.953,-42.194
14:23:48:084,0.097,0.000,-0.002,-0.001,42.292,109.946,-42.225
14:23:48:109,0.122,-0.003,-0.003,-0.007,42.312,109.944,-42.260
14:23:48:147,0.159,0.000,0.002,0.002,42.314,109.950,-42.266
14:23:48:187,0.199,0.002,-0.002,-0.004,42.303,109.943,-42.244
14:23:48:188,0.200,-0.004,0.004,-0.004,42.322,109.941,-42.280
14:23:48:246,0.259,-0.006,0.000,-0.008,42.328,109.960,-42.356
14:23:48:334,0.347,-0.007,-0.003,-0.014,42.314,109.875,-42.487
14:23:48:359,0.372,0.000,-0.009,-0.005,42.305,109.845,-42.528
14:23:48:371,0.384,0.002,-0.010,-0.011,42.304,109.805,-42.589
14:23:48:397,0.409,-0.002,-0.010,-0.009,42.301,109.782,-42.610
14:23:48:447,0.459,-0.006,-0.001,-0.001,42.283,109.723,-42.657
14:23:48:485,0.497,-0.006,0.002,-0.008,42.290,109.713,-42.684
14:23:48:497,0.509,0.001,0.001,-0.009,42.265,109.726,-42.701
14:23:48:547,0.560,0.001,-0.008,-0.009,42.249,109.743,-42.701
14:23:48:559,0.572,-0.006,0.007,-0.004,42.254,109.721,-42.745
14:23:48:575,0.588,-0.001,-0.002,-0.004,42.238,109.711,-42.754
14:23:48:61,0.623,0.001,-0.004,-0.005,42.169,109.708,-42.758
14:23:48:635,0.648,0.009,-0.022,-0.008,42.126,109.701,-42.768
14:23:48:672,0.685,0.005,-0.019,-0.017,42.125,109.697,-42.757
14:23:48:697,0.709,-0.005,-0.020,-0.014,42.133,109.693,-42.761
14:23:48:721,0.733,-0.002,-0.016,-0.024,42.156,109.667,-42.788
14:23:48:734,0.746,0.002,-0.017,-0.013,42.186,109.626,-42.823
14:23:48:909,0.922,0.003,0.007,0.004,42.423,109.412,-42.956
14:23:48:921,0.934,-0.003,0.005,-0.003,42.457,109.384,-42.969
14:23:48:959,0.972,-0.005,0.013,0.003,42.475,109.377,-42.993
14:23:48:972,0.985,-0.005,0.004,-0.007,42.474,109.370,-43.022
14:23:49:009,1.021,-0.003,0.006,-0.005,42.446,109.345,-43.078
14:23:49:022,1.034,0.003,-0.003,-0.005,42.431,109.317,-43.142
14:23:49:112,1.124,-0.004,-0.008,-0.010,42.394,109.300,-43.422
14:23:49:113,1.125,-0.014,0.005,-0.004,42.387,109.301,-43.493
14:23:49:134,1.147,-0.007,0.000,-0.016,42.358,109.344,-43.509
14:23:49:158,1.171,-0.009,-0.005,-0.017,42.302,109.367,-43.496
14:23:49:172,1.185,-0.006,-0.016,-0.017,42.218,109.404,-43.444
14:23:49:197,1.210,-0.015,-0.010,-0.025,42.198,109.408,-43.473
14:23:49:222,1.235,-0.016,-0.014,-0.023,42.158,109.396,-43.520
14:23:49:259,1.272,0.001,-0.021,-0.016,42.121,109.335,-43.534
14:23:49:299,1.312,0.003,-0.022,-0.020,42.109,109.300,-43.535
14:23:49:3,1.313,0.002,-0.014,-0.009,42.100,109.267,-43.516
14:23:49:362,1.375,0.010,-0.012,0.005,42.147,109.181,-43.504
14:23:49:434,1.446,0.002,0.002,0.000,42.223,109.188,-43.457
14:23:49:471,1.484,-0.011,0.003,-0.014,42.243,109.197,-43.454
14:23:49:484,1.497,-0.013,0.008,-0.015,42.257,109.239,-43.425
14:23:49:509,1.522,-0.010,-0.003,-0.027,42.239,109.256,-43.397
14:23:49:547,1.559,-0.012,0.000,-0.027,42.233,109.259,-43.421
14:23:49:825,1.838,0.005,-0.015,-0.004,41.996,108.607,-43.886
14:23:49:825,1.838,0.007,-0.020,-0.004,41.971,108.555,-43.841
14:23:49:846,1.859,0.006,-0.011,-0.001,42.004,108.493,-43.793
14:23:49:901,1.914,0.008,-0.012,0.011,42.047,108.417,-43.736
14:23:49:901,1.914,0.010,-0.008,0.010,42.075,108.374,-43.692
14:23:49:936,1.949,0.000,-0.001,-0.001,42.121,108.355,-43.646
14:23:49:972,1.984,0.006,0.003,0.005,42.147,108.332,-43.621
14:23:50:,2.012,0.004,-0.002,0.005,42.174,108.288,-43.583
14:23:50:,2.012,0.003,0.006,0.005,42.215,108.278,-43.573
14:23:50:176,2.189,0.001,-0.007,-0.006,42.225,108.352,-43.457
14:23:50:184,2.197,0.000,-0.011,-0.015,42.238,108.392,-43.434
14:23:50:237,2.250,0.000,-0.007,-0.007,42.256,108.385,-43.464
14:23:50:3,2.312,0.001,-0.011,-0.012,42.269,108.394,-43.468
14:23:50:3,2.312,0.000,-0.006,-0.011,42.290,108.409,-43.477
14:23:50:312,2.324,0.005,-0.007,-0.012,42.312,108.403,-43.516
14:23:50:335,2.347,0.008,-0.001,-0.012,42.335,108.413,-43.535
14:23:50:422,2.435,-0.001,-0.004,-0.014,42.398,108.454,-43.548
14:23:50:459,2.472,-0.002,-0.002,0.003,42.413,108.474,-43.541
14:23:50:546,2.559,-0.003,-0.002,0.002,42.360,108.545,-43.364
14:23:50:584,2.596,0.002,0.001,-0.008,42.345,108.599,-43.343
14:23:50:609,2.621,0.003,0.003,-0.002,42.313,108.666,-43.304
14:23:50:634,2.646,0.010,-0.006,-0.006,42.279,108.731,-43.277
14:23:50:647,2.659,-0.005,0.002,-0.012,42.268,108.806,-43.270
14:23:50:71,2.723,-0.009,-0.009,-0.022,42.222,108.930,-43.256
14:23:50:735,2.748,-0.009,-0.021,-0.022,42.218,108.959,-43.289
14:23:50:772,2.785,-0.021,-0.014,-0.023,42.244,108.970,-43.323
14:23:50:796,2.809,-0.013,-0.005,-0.025,42.253,108.938,-43.371
14:23:50:822,2.835,0.004,-0.009,-0.017,42.231,108.886,-43.382
14:23:50:836,2.849,0.002,-0.004,-0.012,42.233,108.861,-43.380
14:23:50:86,2.872,-0.005,0.001,-0.012,42.252,108.824,-43.362
14:23:50:909,2.921,0.002,-0.004,-0.012,42.269,108.769,-43.312
