now_time,trils,duration,0_Nose,,,1_Neck,,,2_RShoulder,,,3_RElbow,,,4_RWrist,,,5_LShoulder,,,6_LElbow,,,7_LWrist,,,8_MidHip,9_RHip,,,10_RKnee,,,11_RAnkle,,,12_LHip,,,13_LKnee,,,14_LAnkle,,,15_REye,,,16_LEye,,,17_REar,18_LEar,,,19_LBigToe,,,20_LSmallToe,,,21_LHeel,,,22_RBigToe,,,23_RSmallToe,,,24_RHeel,,,25_Background,,,26_A_Lneck,27_A_Lshoulder,28_A_Lelbow,29_A_Lhip,30_A_Lknee,31_A_Rneck,32_A_Rshoulder,33_A_Relbow,34_A_Rhip,35_A_Rknee,36_A_middle_left_neck
2022:01:04:20:38:45,up_90_30_,0.6986114978790283,0.4876774,0.47206277,0.9107994,0.5109845,0.51911414,0.91439503,0.47944644,0.51908773,0.89020586,0.45626017,0.57196677,0.8807535,0.4717473,0.63446516,0.8542069,0.54610884,0.51917005,0.9222905,0.54643923,0.58219635,0.91359997,0.51471967,0.6086233,0.84420353,0.5070487,0.6503491,0.8708081,0.48363197,0.650314,0.9134331,0.48745647,0.77088135,0.9731127,0.4872806,0.89610606,0.9675632,0.51904887,0.65035397,0.9121444,0.51889116,0.7757142,0.9585903,0.5187619,0.8961693,0.92895824,0.48731452,0.45126897,0.93534786,0.5031564,0.4512483,0.86670715,0.48370412,0.45140788,0.097592436,0.5189782,0.44629276,0.92461956,0.51506096,0.93276584,0.8435893,0.5267568,0.9224872,0.7432794,0.5149506,0.9014827,0.7510632,0.48359996,0.927753,0.89903784,0.47173756,0.91725194,0.81383854,0.48750556,0.9013676,0.8431474,-1.00,70.75521645347104,-1,-1,-1,-1,93.7697154600439,-1,-1,-1,-1
2022:01:04:20:38:45,up_90_30_,0.8103127479553223,0.48762935,0.47212374,0.9114274,0.5110289,0.51912355,0.92004985,0.47948477,0.51907134,0.89698815,0.45625705,0.57191116,0.8898557,0.47173703,0.6344708,0.86109006,0.5461511,0.51919425,0.9247612,0.54642284,0.58736086,0.9053647,0.51477724,0.6135709,0.8436252,0.5070189,0.65031517,0.8714065,0.4835936,0.6502601,0.9135113,0.48743185,0.77085495,0.97314304,0.48727775,0.8960729,0.9664248,0.5190504,0.65033746,0.91016686,0.51891,0.77570105,0.9591086,0.5187654,0.8961431,0.9295305,0.48728454,0.45137236,0.9136908,0.499282,0.4513445,0.8563713,0.48728657,0.45653537,0.06897125,0.5189516,0.4512245,0.9266261,0.5186833,0.93277574,0.8444185,0.5305663,0.9224679,0.7404795,0.51494753,0.901451,0.7520918,0.48362705,0.9277729,0.9048861,0.47175816,0.91727406,0.8207329,0.48749793,0.89656574,0.84868646,-1.00,71.72684635976637,-1,-1,-1,-1,93.74614502893621,-1,-1,-1,-1
2022:01:04:20:38:45,up_90_30_,0.8761649131774902,0.48365748,0.4617635,0.92529476,0.5110451,0.5190633,0.91455257,0.47956726,0.51407796,0.9104817,0.45600277,0.5717355,0.94689184,0.448243,0.6447724,0.9593824,0.54619044,0.5193131,0.941483,0.55017215,0.58747435,0.87927604,0.5305752,0.6448173,0.87502885,0.49926063,0.6452109,0.8715925,0.48329082,0.64515907,0.9141487,0.4835633,0.77071387,0.96961796,0.48361105,0.89604586,0.9411001,0.5189701,0.65005356,0.90112597,0.51895607,0.7708248,0.94628286,0.5188148,0.89611953,0.9145323,0.48348856,0.44609478,0.82043785,0.4876653,0.44613877,0.92636067,0.0,0.0,0.0,0.51872206,0.45133623,0.9552799,0.5150493,0.93276596,0.85434973,0.5267398,0.92256016,0.75304234,0.5149934,0.90142584,0.7665942,0.48354715,0.9276991,0.89211726,0.47166464,0.91725284,0.8061607,0.487401,0.8965108,0.84581065,-1.00,83.31494470932394,-1,-1,-1,-1,94.47863103098045,-1,-1,-1,-1
2022:01:04:20:38:45,up_90_30_,0.9619078636169434,0.4991988,0.46691766,0.8574976,0.5110283,0.51924133,0.95041746,0.4794287,0.51922655,0.92682403,0.43253586,0.56656915,0.9157163,0.3931433,0.6135092,0.94956166,0.5461808,0.51931405,0.9422078,0.57766587,0.57181257,0.9195528,0.6090365,0.6396518,0.9248074,0.507102,0.65029407,0.8911329,0.4835336,0.6502958,0.9331853,0.48365504,0.7709023,0.9707593,0.4837067,0.8961045,0.9494376,0.5227854,0.65033406,0.8999353,0.51899636,0.7756845,0.94945294,0.5187629,0.89614314,0.93163633,0.49130505,0.446146,0.91524637,0.51469034,0.44627252,0.91397786,0.48365957,0.45133743,0.49373916,0.5227077,0.45654106,0.89022344,0.51505464,0.9328588,0.8725438,0.52675235,0.92761195,0.77240855,0.5149378,0.901429,0.77312386,0.48360828,0.92783177,0.89430547,0.47172648,0.9173758,0.8009143,0.48747995,0.89655286,0.82728195,-1.00,117.6978336600238,-1,-1,-1,-1,132.43727038800324,-1,-1,-1,-1
2022:01:04:20:38:45,up_90_30_,1.0247390270233154,0.5147236,0.45144397,0.8976995,0.51091534,0.51920396,0.93563163,0.4718007,0.5191472,0.89844066,0.42479226,0.56095755,0.9140957,0.3815408,0.5822443,0.82700574,0.5424282,0.5191382,0.93077457,0.5855075,0.5610753,0.93295705,0.6365389,0.6028332,0.89392483,0.50700736,0.65027237,0.89413303,0.48348644,0.6502786,0.93474084,0.48364586,0.77091914,0.97184145,0.4836598,0.89615047,0.9537691,0.5190904,0.6502935,0.92099696,0.51898104,0.775717,0.947711,0.5187616,0.89620715,0.9311365,0.503167,0.441083,0.9064284,0.5150517,0.44113398,0.96427387,0.48741677,0.45139548,0.9021188,0.52273536,0.4565473,0.6453315,0.5186617,0.93286645,0.8693532,0.5305562,0.9276227,0.76319283,0.5149187,0.9015049,0.7707428,0.48358196,0.9327856,0.8949837,0.47167745,0.92241,0.8022376,0.48743746,0.90136856,0.83360076,-1.00,138.23298124813928,-1,-1,-1,-1,144.96103705778654,-1,-1,-1,-1
2022:01:04:20:38:45,up_90_30_,1.1045262813568115,0.5187131,0.4565583,0.913713,0.51091915,0.5191318,0.94360435,0.4678477,0.51908314,0.8829986,0.42051005,0.5350464,0.8874313,0.36183974,0.56120586,0.93228924,0.54622465,0.5190654,0.9532287,0.60517275,0.5403276,0.8771017,0.64830786,0.56633765,0.8978213,0.5069881,0.6503938,0.88487625,0.48342422,0.6503974,0.92443603,0.4836283,0.77091914,0.9627202,0.48366952,0.89608645,0.9390005,0.5226988,0.65041226,0.91421807,0.51900196,0.7757445,0.9421136,0.5187619,0.8961752,0.92922443,0.514722,0.4411427,0.9399148,0.5189923,0.44596562,0.9118275,0.48752815,0.4462695,0.91943496,0.5266297,0.46692038,0.060010366,0.5186785,0.9328338,0.8636509,0.5305804,0.9225841,0.7626916,0.51490927,0.901467,0.7724498,0.48361573,0.9278131,0.88855857,0.47170165,0.91736734,0.7997037,0.4874407,0.89652145,0.82233244,-1.00,155.04452906268705,-1,-1,-1,-1,158.26468786797045,-1,-1,-1,-1
2022:01:04:20:38:45,up_90_30_,1.1653919219970703,0.5190061,0.45137742,0.88779384,0.5110085,0.5190921,0.9401648,0.4678505,0.51411766,0.8549181,0.42062148,0.5193021,0.88819355,0.36199126,0.5195034,0.881569,0.5463149,0.51420385,0.92716265,0.605244,0.5193561,0.89151824,0.6561775,0.5195497,0.84476364,0.50705475,0.6503122,0.8866386,0.48344293,0.65029407,0.9196012,0.48362,0.7708996,0.9587178,0.48370323,0.8960502,0.93515176,0.5228105,0.65037465,0.8929267,0.51897186,0.7757334,0.941037,0.5187597,0.8962477,0.9395095,0.5149967,0.44103286,0.9778658,0.5228598,0.44106752,0.8033705,0.4912881,0.44623345,0.8998981,0.0,0.0,0.0,0.515023,0.9328967,0.88011,0.5267344,0.9277206,0.7838876,0.5149422,0.9015576,0.78671813,0.48352796,0.92774713,0.88010824,0.4678814,0.91725165,0.7933093,0.48750255,0.896518,0.81187344,-1.00,169.3316064638503,-1,-1,-1,-1,170.51255449172447,-1,-1,-1,-1
2022:01:04:20:38:46,up_90_30_,1.2431840896606445,0.5227508,0.45135587,0.8722303,0.5110585,0.5141038,0.92571104,0.47169554,0.51391244,0.8343247,0.4205935,0.5190453,0.87493664,0.36191463,0.51418227,0.8767283,0.5463487,0.51399755,0.9237143,0.6051034,0.519058,0.85026824,0.6443327,0.51418513,0.8142013,0.5070514,0.6501158,0.8912288,0.48342937,0.6500699,0.92022216,0.4836142,0.7708412,0.9582608,0.4872516,0.89119774,0.929966,0.5228306,0.650202,0.88991123,0.51898485,0.7756879,0.93657106,0.5187518,0.89624375,0.9399066,0.5150954,0.44101006,0.9836413,0.5267424,0.4410168,0.8127233,0.49137592,0.446151,0.9025796,0.0,0.0,0.0,0.5150501,0.9329135,0.8822849,0.5267586,0.92772114,0.78400135,0.51493144,0.90154773,0.78818995,0.48356768,0.92778426,0.88195264,0.471688,0.91730076,0.79134643,0.48750946,0.8965029,0.8045289,-1.00,179.7178690542753,-1,-1,-1,-1,179.58067869025928,-1,-1,-1,-1
2022:01:04:20:38:46,up_90_30_,1.3179876804351807,0.5228287,0.45123535,0.86971354,0.51469153,0.513972,0.9180331,0.47170302,0.50887084,0.832503,0.42060825,0.5140273,0.87263906,0.3618896,0.50897515,0.8444387,0.54643774,0.5089194,0.9178912,0.60899985,0.5089514,0.8673119,0.6446221,0.50365454,0.8170336,0.5070197,0.6501322,0.8878448,0.48337632,0.6500963,0.91436416,0.48361138,0.770844,0.9591454,0.4872499,0.8960522,0.9310783,0.5228325,0.6502223,0.8881558,0.5189795,0.7756963,0.9373222,0.51876026,0.8962488,0.9379988,0.5186758,0.44092894,0.9921947,0.53057957,0.44091228,0.81645966,0.49139842,0.4460784,0.9036563,0.0,0.0,0.0,0.5150604,0.9329478,0.87916845,0.5267826,0.92775065,0.7785984,0.5149378,0.90154535,0.78515804,0.48357108,0.9278138,0.880554,0.47168222,0.9173278,0.78923607,0.48750523,0.89651257,0.8061415,-1.00,174.02633443334335,-1,-1,-1,-1,173.17833363222456,-1,-1,-1,-1
2022:01:04:20:38:46,up_90_30_,1.3797905445098877,0.526728,0.4411485,0.8788889,0.5110092,0.51390934,0.9000685,0.46781456,0.50374305,0.8298712,0.41683725,0.5087748,0.8409408,0.3617225,0.50367135,0.84419537,0.546352,0.51390845,0.91084033,0.60902876,0.49322417,0.8681816,0.64850456,0.48297685,0.8387451,0.50695926,0.6502209,0.8842539,0.48334035,0.65019256,0.9102976,0.48362744,0.7708781,0.9559858,0.48369682,0.8960676,0.93197906,0.52278686,0.650286,0.89772767,0.5190109,0.77570194,0.93012947,0.51876515,0.8962014,0.9341866,0.51885015,0.4406934,0.99677444,0.53060514,0.44074532,0.50656825,0.4952465,0.445987,0.90320855,0.0,0.0,0.0,0.51866585,0.9329024,0.86739206,0.5305654,0.92766964,0.7673703,0.51492804,0.9014815,0.7826495,0.48359984,0.93278503,0.8835046,0.4717202,0.92241126,0.7911221,0.48747638,0.89651376,0.811486,-1.00,163.15523618171932,-1,-1,-1,-1,166.79463510343572,-1,-1,-1,-1
