Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
19:34:27:437,2.626,0.010,-0.028,-0.005,21.679,143.843,-16.237
19:34:27:491,2.680,0.021,-0.032,0.010,21.668,143.837,-16.165
19:34:27:491,2.680,0.028,-0.049,0.004,21.671,143.815,-16.198
19:34:27:543,2.732,-0.007,-0.021,0.000,21.680,143.807,-16.273
19:34:27:544,2.733,0.006,-0.025,0.001,21.722,143.800,-16.197
19:34:27:596,2.785,0.052,-0.038,0.004,21.741,143.790,-16.117
19:34:27:596,2.785,0.012,-0.031,0.001,21.764,143.791,-16.243
19:34:27:621,2.810,-0.017,-0.007,-0.009,21.805,143.802,-16.334
19:34:27:707,2.896,0.021,-0.025,-0.004,21.881,143.833,-16.257
19:34:27:707,2.896,0.026,-0.023,0.008,21.917,143.846,-16.312
19:34:27:707,2.896,-0.017,0.003,-0.008,21.933,143.863,-16.439
19:34:27:725,2.914,0.006,0.001,-0.002,21.988,143.912,-16.397
19:34:27:751,2.940,0.037,-0.023,0.015,22.003,143.950,-16.335
19:34:27:777,2.966,-0.033,0.012,-0.006,22.006,143.996,-16.511
19:34:27:803,2.992,-0.019,-0.009,-0.009,22.008,144.067,-16.483
19:34:27:829,3.018,0.019,-0.021,0.003,22.001,144.084,-16.393
19:34:27:856,3.045,-0.010,-0.019,-0.018,21.955,144.059,-16.489
19:34:27:882,3.071,-0.011,-0.010,-0.011,21.926,144.034,-16.531
19:34:27:908,3.097,0.030,-0.038,0.004,21.903,144.002,-16.490
19:34:27:934,3.123,-0.006,-0.015,0.003,21.907,144.002,-16.526
19:34:27:961,3.150,-0.003,-0.018,-0.002,21.912,143.994,-16.565
19:34:27:987,3.176,0.025,-0.039,0.005,21.871,143.948,-16.538
19:34:28:013,3.202,0.023,-0.031,0.002,21.842,143.919,-16.567
19:34:28:04,3.229,0.018,-0.034,0.004,21.842,143.877,-16.632
19:34:28:095,3.284,0.039,-0.040,0.007,21.871,143.864,-16.634
19:34:28:095,3.284,0.028,-0.041,0.009,21.909,143.910,-16.589
19:34:28:12,3.309,-0.006,-0.009,-0.006,21.938,143.977,-16.595
19:34:28:147,3.336,0.017,-0.021,0.003,21.976,144.013,-16.523
19:34:28:172,3.361,0.008,-0.027,0.003,21.996,144.051,-16.534
19:34:28:226,3.415,-0.013,-0.017,-0.019,21.997,144.090,-16.597
19:34:28:227,3.416,0.012,-0.019,0.000,21.992,144.100,-16.580
19:34:28:249,3.438,0.008,-0.032,0.002,21.998,144.108,-16.615
19:34:28:354,3.543,-0.025,-0.011,-0.016,21.969,143.979,-16.857
19:34:28:381,3.570,0.020,-0.023,0.003,21.991,143.936,-16.792
19:34:28:407,3.596,0.037,-0.034,0.007,21.992,143.905,-16.727
19:34:28:433,3.622,-0.012,-0.009,0.000,21.971,143.856,-16.847
19:34:28:459,3.648,0.023,-0.026,0.007,21.969,143.837,-16.836
19:34:28:591,3.780,0.009,-0.035,0.004,21.938,143.811,-16.808
19:34:28:617,3.806,0.001,-0.033,-0.010,21.930,143.826,-16.853
19:34:28:672,3.861,0.036,-0.037,0.002,21.939,143.827,-16.804
19:34:28:673,3.863,0.014,-0.029,0.003,22.000,143.800,-16.886
19:34:28:723,3.912,0.024,-0.007,0.011,22.091,143.778,-16.844
19:34:28:749,3.938,0.017,-0.004,0.016,22.092,143.763,-16.805
19:34:28:775,3.964,-0.007,0.012,0.004,22.092,143.748,-16.886
19:34:28:804,3.993,0.013,-0.008,0.008,22.086,143.744,-16.872
19:34:28:804,3.993,0.022,-0.021,0.011,22.022,143.761,-16.805
19:34:28:886,4.075,0.007,-0.019,0.008,21.957,143.747,-16.860
19:34:28:886,4.075,-0.006,-0.026,-0.001,21.893,143.723,-16.888
19:34:28:887,4.076,0.036,-0.061,-0.003,21.857,143.713,-16.825
19:34:28:962,4.151,0.042,-0.052,0.002,21.786,143.697,-16.709
19:34:28:986,4.175,0.010,-0.038,0.003,21.791,143.649,-16.769
19:34:29:012,4.201,-0.011,-0.011,-0.008,21.793,143.612,-16.919
19:34:29:037,4.226,0.038,-0.046,0.010,21.825,143.596,-16.864
