Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
15:53:09:172,3.210,0.002,-0.020,0.015,-12.403,-41.200,-9.316
15:53:09:197,3.235,0.039,-0.031,0.010,-12.471,-41.301,-9.321
15:53:09:222,3.260,0.025,-0.058,0.008,-12.482,-41.369,-9.327
15:53:09:248,3.286,0.021,-0.048,0.025,-12.409,-41.461,-9.363
15:53:09:273,3.311,0.013,0.000,0.025,-12.252,-41.569,-9.337
15:53:09:298,3.336,-0.001,0.015,0.029,-12.159,-41.636,-9.298
15:53:09:35,3.387,-0.019,0.030,0.005,-12.070,-41.714,-9.211
15:53:09:351,3.388,-0.010,0.037,-0.001,-12.044,-41.798,-9.214
15:53:09:372,3.410,-0.022,0.038,0.021,-12.015,-41.917,-9.255
15:53:09:409,3.447,-0.030,0.004,-0.006,-11.957,-41.928,-9.046
15:53:09:485,3.523,0.016,-0.048,0.006,-12.044,-41.932,-9.035
15:53:09:535,3.573,0.073,-0.039,0.028,-12.249,-42.038,-9.372
15:53:09:56,3.598,0.088,-0.023,0.052,-12.236,-42.259,-9.785
15:53:09:585,3.623,0.032,-0.080,0.002,-12.285,-42.561,-9.790
15:53:09:61,3.648,0.003,-0.062,-0.024,-12.375,-42.825,-9.882
15:53:09:635,3.672,-0.054,-0.013,-0.014,-12.408,-43.177,-10.161
15:53:09:66,3.697,-0.059,-0.012,-0.024,-12.293,-43.312,-10.189
15:53:09:712,3.750,-0.057,0.041,-0.021,-12.045,-43.434,-10.099
15:53:09:713,3.751,-0.060,0.041,-0.019,-11.908,-43.411,-9.869
15:53:09:759,3.797,-0.031,0.063,0.023,-11.868,-43.222,-9.750
15:53:09:798,3.836,-0.006,0.000,0.025,-11.881,-43.117,-9.690
15:53:09:876,3.913,0.027,-0.029,0.018,-12.224,-42.887,-10.076
15:53:09:972,4.010,0.006,0.009,0.025,-12.369,-42.832,-10.449
15:53:10:026,4.064,0.006,-0.030,0.009,-12.335,-42.846,-10.352
15:53:10:026,4.064,0.004,-0.021,0.014,-12.348,-42.916,-10.343
15:53:10:061,4.099,-0.009,-0.003,0.026,-12.312,-42.949,-10.424
15:53:10:072,4.110,-0.002,0.006,0.022,-12.183,-43.020,-10.492
15:53:10:11,4.147,0.008,0.028,0.042,-12.107,-43.103,-10.555
