Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
15:40:54:904,0.000,0.022,0.035,0.017,10.472,-36.705,-7.245
15:40:54:991,0.088,0.019,0.012,-0.003,10.470,-36.720,-7.517
15:40:54:991,0.088,0.018,0.010,0.009,10.450,-36.724,-7.651
15:40:55:026,0.123,-0.004,0.011,-0.008,10.496,-36.764,-7.693
15:40:55:107,0.203,0.020,0.013,-0.001,10.519,-36.792,-7.785
15:40:55:107,0.203,0.014,0.024,0.005,10.510,-36.917,-7.921
15:40:55:107,0.203,-0.016,0.031,-0.016,10.511,-36.952,-7.910
15:40:55:141,0.237,-0.002,0.027,-0.013,10.505,-36.781,-7.977
15:40:55:141,0.237,0.010,0.011,0.005,10.494,-36.834,-8.053
15:40:55:215,0.312,0.005,0.021,-0.003,10.487,-37.258,-8.143
15:40:55:318,0.414,-0.017,-0.019,-0.003,10.404,-37.248,-8.121
15:40:55:32,0.416,0.023,0.022,0.011,10.363,-37.371,-8.261
15:40:55:32,0.416,-0.008,0.011,-0.007,10.382,-37.378,-8.246
15:40:55:39,0.486,0.005,0.037,0.006,10.407,-37.362,-8.481
15:40:55:391,0.487,0.010,0.028,-0.001,10.424,-37.273,-8.462
15:40:55:468,0.565,0.016,0.009,0.005,10.482,-37.041,-8.330
15:40:55:469,0.566,0.030,0.007,0.014,10.458,-36.991,-8.368
15:40:55:476,0.573,0.029,-0.004,0.019,10.454,-36.970,-8.312
15:40:55:513,0.610,0.027,-0.015,0.023,10.473,-37.018,-8.339
15:40:55:524,0.621,0.029,-0.024,0.005,10.530,-37.179,-8.451
15:40:55:669,0.765,-0.015,0.004,-0.013,10.745,-37.526,-8.630
15:40:55:67,0.766,-0.010,0.047,-0.013,10.953,-37.608,-8.631
15:40:55:67,0.766,-0.047,0.078,-0.024,11.152,-37.651,-8.565
15:40:55:754,0.850,-0.039,0.113,-0.023,11.281,-37.514,-8.364
15:40:55:754,0.850,-0.042,0.069,-0.025,11.272,-37.429,-8.233
15:40:55:774,0.871,-0.029,0.040,0.004,11.140,-37.276,-8.170
15:40:55:815,0.912,0.002,0.020,-0.014,11.019,-37.133,-8.141
15:40:55:815,0.912,0.021,0.002,-0.009,10.845,-36.923,-8.145
15:40:56:056,1.153,-0.011,0.034,-0.011,10.740,-36.766,-8.165
15:40:56:056,1.153,-0.009,0.064,-0.001,10.874,-36.765,-8.026
15:40:56:366,1.463,0.004,-0.015,-0.004,10.284,-36.932,-7.993
15:40:56:443,1.539,-0.012,-0.025,-0.014,10.339,-36.981,-7.929
15:40:56:444,1.540,-0.009,-0.002,-0.008,10.379,-37.054,-7.936
15:40:56:445,1.541,-0.009,0.018,0.002,10.392,-37.093,-7.938
15:40:56:678,1.774,0.008,-0.017,-0.003,10.380,-36.955,-7.778
15:40:56:678,1.774,0.012,-0.029,-0.003,10.348,-36.938,-7.788
15:40:56:739,1.835,0.037,-0.061,0.023,10.353,-36.897,-7.822
15:40:56:753,1.849,0.040,-0.103,0.029,10.459,-36.937,-7.957
15:40:56:754,1.850,0.047,-0.060,0.020,10.612,-37.030,-8.108
15:40:56:803,1.900,0.012,0.035,0.010,10.989,-37.274,-8.221
15:40:56:803,1.900,-0.030,0.086,-0.030,11.256,-37.459,-8.187
15:40:56:825,1.922,-0.048,0.111,-0.033,11.502,-37.669,-8.098
15:40:56:85,1.947,-0.064,0.137,-0.047,11.597,-37.764,-8.003
15:40:56:9,1.996,-0.037,0.138,-0.029,11.557,-37.708,-7.894
15:40:56:925,2.021,-0.022,0.058,-0.014,11.455,-37.557,-7.759
15:40:56:975,2.071,0.002,0.033,0.009,11.164,-37.265,-7.735
15:40:56:989,2.085,0.040,-0.039,0.022,10.825,-37.075,-7.876
15:40:57:041,2.137,0.054,-0.073,0.025,10.596,-37.008,-7.924
15:40:57:042,2.138,0.053,-0.185,0.028,10.231,-36.896,-7.854
15:40:57:063,2.159,0.032,-0.177,0.014,10.089,-36.829,-7.835
15:40:57:116,2.213,0.008,-0.020,-0.007,10.397,-36.896,-7.777
15:40:57:137,2.234,-0.001,0.019,-0.004,10.699,-37.044,-7.705
15:40:57:19,2.286,-0.011,0.087,-0.012,10.848,-37.202,-7.789
15:40:57:191,2.287,-0.035,0.102,-0.019,10.908,-37.272,-7.759
15:40:57:278,2.374,-0.044,0.080,-0.016,10.959,-37.386,-7.679
15:40:57:278,2.374,-0.038,0.074,-0.025,10.955,-37.255,-7.515
15:40:57:288,2.384,0.007,0.019,-0.010,10.797,-37.108,-7.459
15:40:57:353,2.449,0.021,-0.001,0.019,10.665,-36.988,-7.437
15:40:57:354,2.450,0.021,-0.033,0.008,10.559,-36.847,-7.385
15:40:57:387,2.484,0.029,-0.043,0.009,10.537,-36.782,-7.363
15:40:57:425,2.522,-0.003,-0.047,-0.005,10.546,-36.683,-7.252
15:40:57:438,2.535,0.031,0.027,0.009,10.631,-36.606,-7.228
15:40:57:449,2.546,0.013,0.048,0.013,10.760,-36.521,-7.085
15:40:57:515,2.611,0.010,0.025,0.004,10.925,-36.392,-6.927
15:40:57:516,2.612,0.046,0.049,0.031,10.945,-36.352,-7.010
15:40:57:525,2.621,0.035,0.034,0.023,10.923,-36.275,-6.943
15:40:57:606,2.703,0.028,0.034,0.033,10.883,-36.344,-6.996
15:40:57:607,2.704,0.005,0.011,-0.003,10.794,-36.414,-6.960
15:40:57:662,2.759,0.002,-0.008,-0.006,10.647,-36.558,-7.059
15:40:57:745,2.841,-0.006,-0.007,-0.003,10.632,-36.644,-7.027
15:40:57:745,2.841,0.017,-0.012,-0.007,10.604,-36.762,-7.126
15:40:57:745,2.841,0.009,-0.006,-0.008,10.605,-36.914,-7.158
15:40:57:762,2.859,0.005,-0.007,-0.006,10.599,-36.955,-7.124
15:40:57:903,2.999,-0.007,0.025,-0.009,10.729,-37.254,-7.231
15:40:57:903,2.999,-0.003,0.023,-0.003,10.762,-37.297,-7.262
15:40:57:975,3.071,-0.016,0.010,-0.013,10.759,-37.498,-7.395
15:40:58:,3.097,0.001,0.039,-0.010,10.751,-37.495,-7.443
15:40:58:065,3.161,0.007,-0.006,-0.008,10.750,-37.480,-7.449
15:40:58:066,3.162,0.017,0.023,0.005,10.732,-37.495,-7.599
15:40:58:115,3.212,-0.005,0.038,0.015,10.758,-37.489,-7.637
15:40:58:115,3.212,-0.004,0.022,0.001,10.795,-37.476,-7.640
15:40:58:125,3.222,0.007,0.046,0.010,10.823,-37.522,-7.759
15:40:58:218,3.314,-0.019,0.031,-0.009,10.833,-37.525,-7.703
15:40:58:219,3.315,-0.008,0.047,-0.016,10.846,-37.564,-7.778
15:40:58:22,3.316,-0.002,0.019,-0.002,10.853,-37.601,-7.844
15:40:58:365,3.461,0.006,-0.009,-0.020,10.753,-37.851,-7.706
15:40:58:366,3.462,0.014,0.037,0.006,10.688,-37.952,-7.732
15:40:58:425,3.521,0.014,-0.026,0.008,10.726,-38.168,-7.755
15:40:58:438,3.534,0.027,0.019,0.013,10.778,-38.200,-7.733
15:40:58:518,3.615,0.005,0.023,-0.005,10.840,-38.178,-7.612
15:40:58:518,3.615,0.001,0.011,-0.003,10.954,-38.166,-7.473
15:40:58:519,3.616,-0.002,0.010,-0.011,11.009,-38.177,-7.464
15:40:58:577,3.674,-0.001,0.025,-0.003,11.046,-38.182,-7.419
15:40:58:578,3.675,-0.001,0.037,-0.022,11.041,-38.166,-7.341
15:40:58:6,3.697,-0.001,0.023,-0.004,11.058,-38.170,-7.311
15:40:58:681,3.777,-0.012,0.003,-0.015,11.058,-38.153,-7.220
15:40:58:682,3.778,0.012,0.000,0.009,11.020,-38.118,-7.203
15:40:58:682,3.778,0.008,0.035,-0.003,11.002,-38.040,-7.195
15:40:58:725,3.821,0.014,-0.014,0.001,11.030,-37.983,-7.183
15:40:58:75,3.846,0.019,-0.016,-0.021,11.018,-38.052,-7.283
15:40:58:775,3.871,0.011,0.028,0.003,11.031,-38.175,-7.420
15:40:58:814,3.911,-0.028,0.017,-0.010,11.104,-38.195,-7.352
15:40:58:824,3.921,0.020,0.023,0.001,11.188,-38.242,-7.439
15:40:58:849,3.946,-0.002,0.037,0.003,11.226,-38.291,-7.502
15:40:58:902,3.999,-0.017,0.033,-0.005,11.264,-38.351,-7.471
15:40:58:903,4.000,0.000,0.045,0.007,11.306,-38.435,-7.570
15:40:58:966,4.062,-0.039,0.067,-0.034,11.312,-38.565,-7.469
15:40:58:988,4.084,-0.031,0.036,-0.019,11.241,-38.500,-7.414
15:40:59:216,4.312,-0.010,-0.001,-0.007,10.861,-38.081,-7.209
15:40:59:291,4.387,0.001,-0.009,-0.003,10.878,-38.115,-7.293
15:40:59:291,4.387,0.026,0.052,0.004,10.896,-38.128,-7.397
15:40:59:301,4.397,0.005,0.038,0.001,10.929,-38.083,-7.300
15:40:59:366,4.463,-0.006,0.008,0.005,10.934,-37.992,-7.084
15:40:59:366,4.463,0.025,0.038,0.011,10.840,-38.051,-7.346
15:40:59:374,4.471,0.019,0.030,0.019,10.760,-38.145,-7.654
15:40:59:516,4.612,0.032,-0.008,0.018,10.609,-38.297,-7.891
15:40:59:525,4.621,0.007,0.004,-0.015,10.714,-38.245,-7.856
15:40:59:592,4.688,0.017,0.046,0.006,10.880,-38.241,-7.877
15:40:59:625,4.721,-0.001,0.061,-0.006,10.945,-38.178,-7.848
15:40:59:687,4.784,-0.009,0.057,0.000,11.028,-38.030,-7.653
15:40:59:753,4.850,-0.008,0.031,-0.008,10.976,-37.898,-7.524
15:40:59:754,4.851,0.042,0.063,0.020,10.931,-37.846,-7.575
15:40:59:763,4.860,0.024,0.047,0.025,10.892,-37.701,-7.501
15:40:59:814,4.910,0.019,-0.024,0.015,10.779,-37.549,-7.304
15:40:59:825,4.921,0.043,-0.020,0.014,10.638,-37.581,-7.436
15:40:59:837,4.933,0.017,-0.029,0.007,10.463,-37.723,-7.613
15:40:59:977,5.074,0.003,-0.022,-0.001,10.396,-37.894,-7.734
15:40:59:978,5.075,0.036,0.022,0.021,10.473,-37.929,-7.912
15:41:00:144,5.241,-0.004,0.036,-0.005,11.077,-38.201,-7.949
15:41:00:149,5.246,0.010,0.044,0.014,11.174,-38.140,-8.101
15:41:00:203,5.300,-0.018,0.024,-0.017,11.175,-38.001,-7.996
15:41:00:203,5.300,0.022,-0.003,-0.006,11.065,-37.796,-7.867
15:41:00:369,5.465,0.018,0.027,-0.003,10.815,-37.864,-7.699
15:41:00:37,5.466,-0.020,0.028,-0.023,10.804,-37.966,-7.678
15:41:00:428,5.525,-0.019,0.012,-0.023,10.731,-38.261,-7.849
15:41:00:437,5.534,-0.010,0.004,-0.018,10.705,-38.289,-7.806
15:41:00:462,5.559,0.015,0.000,-0.003,10.664,-38.322,-7.862
15:41:00:515,5.612,0.003,-0.009,-0.005,10.651,-38.336,-7.874
15:41:00:516,5.613,-0.012,0.012,-0.007,10.672,-38.369,-7.877
15:41:00:59,5.686,-0.020,0.022,-0.025,10.714,-38.458,-7.969
15:41:00:591,5.687,-0.011,0.030,0.000,10.702,-38.546,-8.226
15:41:00:755,5.852,0.021,0.013,-0.002,10.685,-38.598,-8.810
15:41:00:756,5.853,0.012,0.001,0.005,10.678,-38.578,-8.834
15:41:00:756,5.853,0.018,-0.041,0.002,10.664,-38.563,-8.857
15:41:00:775,5.872,0.031,-0.038,0.009,10.661,-38.578,-9.050
15:41:00:874,5.971,0.012,0.053,0.005,11.351,-38.474,-9.708
15:41:00:899,5.996,-0.023,0.129,-0.013,11.933,-38.516,-9.498
15:41:00:926,6.023,-0.057,0.246,-0.041,12.219,-38.607,-9.302
15:41:01:163,6.259,0.013,-0.123,0.000,9.701,-38.278,-8.692
15:41:01:212,6.309,0.015,-0.018,0.022,9.745,-38.456,-8.439
15:41:01:287,6.383,-0.010,0.042,0.000,10.383,-38.459,-8.059
15:41:01:351,6.447,-0.052,0.021,-0.050,10.529,-38.441,-7.843
15:41:01:378,6.474,0.011,0.058,-0.005,10.629,-38.381,-7.753
15:41:01:379,6.475,-0.003,0.080,-0.004,10.692,-38.314,-7.775
15:41:01:524,6.621,0.038,0.019,0.025,10.776,-38.025,-7.638
15:41:01:55,6.647,0.007,0.000,0.028,10.891,-38.060,-7.653
15:41:01:891,6.987,0.005,0.016,-0.004,11.007,-38.746,-8.129
15:41:01:965,7.061,0.008,0.019,0.003,11.130,-38.878,-8.248
15:41:02:012,7.109,0.008,0.041,0.011,11.201,-38.959,-8.298
15:41:02:129,7.225,0.019,0.007,0.013,11.149,-39.023,-8.265
15:41:02:204,7.300,0.011,-0.008,0.002,11.212,-39.012,-7.983
15:41:02:351,7.447,0.001,0.035,0.001,11.391,-39.180,-8.178
15:41:02:362,7.458,-0.003,0.026,0.001,11.432,-39.171,-8.192
15:41:02:401,7.497,0.000,0.007,-0.002,11.429,-39.158,-8.204
15:41:02:425,7.521,0.024,-0.009,-0.002,11.423,-39.160,-8.291
15:41:02:45,7.546,0.016,-0.026,0.008,11.466,-39.164,-8.344
15:41:02:515,7.612,0.002,0.015,0.009,11.703,-39.220,-8.355
15:41:02:515,7.612,0.025,0.040,0.007,11.779,-39.261,-8.373
15:41:02:587,7.684,-0.002,0.043,0.000,11.944,-39.427,-8.476
15:41:02:6,7.697,-0.004,0.063,-0.010,11.975,-39.495,-8.466
15:41:02:625,7.721,-0.008,0.064,-0.008,11.969,-39.543,-8.433
15:41:02:662,7.758,-0.008,0.054,0.000,11.929,-39.533,-8.395
15:41:02:675,7.771,0.000,0.055,0.001,11.839,-39.531,-8.391
15:41:02:74,7.836,0.001,0.007,0.000,11.761,-39.519,-8.354
15:41:02:741,7.837,-0.006,-0.006,-0.004,11.596,-39.521,-8.347
15:41:02:753,7.849,0.034,-0.018,0.007,11.436,-39.525,-8.393
15:41:02:813,7.910,0.028,-0.042,0.018,11.394,-39.505,-8.271
15:41:02:827,7.924,0.003,-0.083,0.004,11.420,-39.482,-7.989
15:41:02:837,7.934,0.034,-0.054,-0.006,11.481,-39.537,-7.892
15:41:02:862,7.959,0.000,-0.007,-0.006,11.664,-39.646,-7.654
15:41:02:888,7.985,0.006,0.011,-0.022,11.784,-39.795,-7.553
15:41:02:913,8.010,0.009,0.038,0.004,11.831,-39.914,-7.674
15:41:02:938,8.034,-0.006,0.046,-0.006,11.922,-40.006,-7.690
15:41:02:963,8.059,0.001,0.067,0.003,11.959,-40.009,-7.622
15:41:02:975,8.071,-0.029,0.070,-0.028,11.968,-39.822,-7.387
15:41:03:049,8.146,0.004,0.047,0.000,11.914,-39.338,-7.202
15:41:03:09,8.187,0.028,0.025,0.010,11.823,-39.131,-7.173
15:41:03:091,8.188,0.034,0.017,0.018,11.748,-39.040,-7.157
15:41:03:139,8.235,0.025,0.001,0.019,11.648,-39.032,-7.298
15:41:03:164,8.260,0.018,-0.023,0.021,11.647,-39.190,-7.495
15:41:03:2,8.296,0.016,0.016,0.007,11.614,-39.421,-7.756
15:41:03:213,8.309,0.008,0.027,0.013,11.590,-39.548,-7.837
15:41:03:274,8.371,-0.007,0.037,-0.022,11.659,-39.738,-7.797
15:41:03:287,8.384,-0.012,0.046,-0.016,11.667,-39.853,-7.874
15:41:03:362,8.458,-0.020,0.044,-0.019,11.601,-39.887,-7.794
15:41:03:403,8.499,-0.001,-0.002,-0.007,11.461,-39.863,-7.829
15:41:03:528,8.624,-0.016,-0.017,-0.024,11.172,-40.061,-8.103
15:41:03:528,8.624,-0.002,0.014,0.001,11.142,-40.142,-8.250
15:41:03:55,8.646,-0.029,0.025,-0.003,11.132,-40.124,-8.348
15:41:03:588,8.684,-0.017,0.038,-0.025,11.119,-40.050,-8.371
