now_time,trils,duration,0_Nose,,,1_Neck,,,2_RShoulder,,,3_RElbow,,,4_RWrist,,,5_LShoulder,,,6_LElbow,,,7_LWrist,,,8_MidHip,9_RHip,,,10_RKnee,,,11_RAnkle,,,12_LHip,,,13_LKnee,,,14_LAnkle,,,15_REye,,,16_LEye,,,17_REar,18_LEar,,,19_LBigToe,,,20_LSmallToe,,,21_LHeel,,,22_RBigToe,,,23_RSmallToe,,,24_RHeel,,,25_Background,,,26_A_Lneck,27_A_Lshoulder,28_A_Lelbow,29_A_Lhip,30_A_Lknee,31_A_Rneck,32_A_Rshoulder,33_A_Relbow,34_A_Rhip,35_A_Rknee,36_A_middle_left_neck,
2022:01:05:09:32:02,up_60_30_,1.376324654,0.5149224,0.3624164,0.9397814,0.51483333,0.44103387,0.9621214,0.4716719,0.44090107,0.9008354,0.420685,0.4830237,0.8905766,0.36575478,0.524528,0.87211543,0.55411446,0.44597054,0.90726286,0.6088957,0.48280025,0.8969269,0.65224457,0.5192973,0.86275625,0.5147698,0.62931246,0.85984534,0.48353723,0.6241765,0.8642653,0.4836742,0.76018935,0.91029966,0.48759276,0.89096195,0.89782536,0.5423453,0.63445413,0.82525885,0.5267286,0.7654184,0.87176824,0.52287436,0.8911584,0.88627285,0.5071232,0.35703582,0.9372147,0.5189069,0.35710973,0.97232914,0.48761106,0.37269944,0.86227036,0.53455615,0.3779737,0.7854029,0.52673274,0.91736746,0.81829137,0.5463776,0.91199845,0.8414108,0.5189505,0.90144897,0.74728143,0.48748273,0.9172757,0.8584267,0.47943923,0.90697455,0.8351521,0.49523443,0.89649457,0.79555786,-1,150.3945405,-1,-1,-1,-1,141.5308264,-1,-1,-1,-1
2022:01:05:09:32:02,up_60_30_,1.440153837,0.51494294,0.36239335,0.9413682,0.514848,0.44110146,0.9601495,0.47169563,0.44096133,0.9004597,0.4207686,0.48805827,0.8818139,0.3696497,0.5248191,0.85257924,0.5541398,0.44606373,0.90339464,0.6089749,0.4878465,0.8923922,0.65225106,0.51960266,0.8695195,0.51475894,0.6293117,0.85973614,0.48353365,0.62417585,0.86474544,0.48366794,0.7602256,0.91369516,0.48759824,0.8909825,0.89890736,0.54232556,0.6344522,0.8248024,0.5267549,0.7653569,0.8664509,0.5228636,0.8911223,0.8827461,0.51082194,0.35701373,0.9369919,0.5189331,0.35707784,0.9697957,0.4876201,0.37270868,0.8602486,0.5383557,0.3779403,0.7826057,0.5266935,0.9173042,0.82094216,0.54632866,0.91196364,0.83915865,0.5189427,0.90141135,0.7535101,0.48737675,0.91730225,0.85975826,0.4756709,0.9069654,0.8331128,0.49527138,0.89652675,0.7994385,-1,150.3446759,-1,-1,-1,-1,140.4017809,-1,-1,-1,-1
2022:01:05:09:32:02,up_60_30_,1.504980803,0.5149427,0.36239374,0.93994105,0.5148706,0.44109395,0.96201044,0.47175023,0.44094774,0.9033086,0.42085317,0.48803204,0.89357156,0.3697169,0.5248542,0.8604002,0.55416113,0.4460713,0.900989,0.60904086,0.4878802,0.8961158,0.65228087,0.51959324,0.8676119,0.51478046,0.6293002,0.8621669,0.48356837,0.62414587,0.8663217,0.4836979,0.76024354,0.9134502,0.48761734,0.89097923,0.8956184,0.5423369,0.63445437,0.82803214,0.52677643,0.7654024,0.86914194,0.5228784,0.8911467,0.882671,0.5108237,0.35701707,0.9369668,0.5189317,0.35707352,0.9697021,0.4876289,0.37272075,0.8554267,0.5383678,0.3779245,0.78542566,0.5267132,0.91733617,0.81991506,0.5463481,0.9119844,0.8394437,0.5189558,0.90142334,0.7510114,0.48739243,0.91729444,0.8561874,0.47568193,0.90695894,0.8305273,0.49529603,0.89652014,0.79594517,-1,150.3752712,-1,-1,-1,-1,140.3737752,-1,-1,-1,-1
2022:01:05:09:32:02,up_60_30_,1.564820766,0.5149466,0.36236548,0.9408415,0.5148672,0.44109136,0.96211416,0.47174436,0.44095072,0.9019889,0.4208509,0.48804352,0.89032185,0.3697217,0.5248257,0.8606268,0.5541459,0.4460539,0.90437746,0.608951,0.48301256,0.89074254,0.65222204,0.51954925,0.8716649,0.5147815,0.6292562,0.861504,0.48356396,0.62410426,0.8660773,0.48369625,0.7602635,0.9163903,0.4876273,0.89098597,0.89478254,0.5423493,0.6294027,0.82748306,0.52677965,0.7653797,0.86899567,0.5228851,0.89115345,0.8820136,0.5108271,0.3569967,0.9356816,0.5189371,0.35705388,0.96813875,0.48763287,0.3727067,0.8517214,0.5383739,0.37791064,0.7838828,0.52675515,0.9173392,0.82102746,0.54638225,0.91197425,0.8445537,0.5189532,0.90144974,0.7491992,0.48740512,0.9173012,0.8548963,0.47570035,0.9069632,0.83106023,0.49531162,0.89653325,0.79527694,-1,150.3538942,-1,-1,-1,-1,140.3887961,-1,-1,-1,-1
2022:01:05:09:32:02,up_60_30_,1.626656532,0.5149414,0.36237457,0.94105834,0.5148691,0.44109127,0.96238047,0.47175255,0.4409391,0.90313673,0.4244986,0.48801324,0.8979573,0.36972806,0.5247456,0.8656466,0.5541454,0.44606897,0.90348566,0.60895944,0.4830252,0.890317,0.6522669,0.51956743,0.8717565,0.51478374,0.6292229,0.8595984,0.48356593,0.6240594,0.86591464,0.4836908,0.7602276,0.91393805,0.4876421,0.8909688,0.89143115,0.54235315,0.62938213,0.8269818,0.5305547,0.76533264,0.8636135,0.5228858,0.8911291,0.8809171,0.5108224,0.35700464,0.9362629,0.5189308,0.3570621,0.96954405,0.48763025,0.37271282,0.85114664,0.538363,0.37792063,0.7849584,0.52675706,0.9173324,0.8247701,0.5463871,0.9119586,0.85099375,0.5189627,0.9014228,0.7450781,0.4874572,0.91729337,0.8513183,0.47943014,0.9069719,0.82904476,0.49532172,0.8965163,0.7905328,-1,150.38766,-1,-1,-1,-1,140.3969092,-1,-1,-1,-1
2022:01:05:09:32:02,up_60_30_,1.690485239,0.5149334,0.3623736,0.94286036,0.5148634,0.44106874,0.9648453,0.471735,0.44093567,0.90321136,0.4207052,0.48806223,0.86845195,0.3658216,0.52975607,0.8436425,0.5541283,0.44602546,0.9062137,0.60520506,0.48281997,0.8899978,0.6484461,0.5194157,0.8881588,0.514792,0.6292603,0.8616568,0.48357704,0.62409604,0.8661146,0.48368976,0.7602265,0.91122806,0.48759148,0.8910105,0.90171695,0.5423503,0.63442963,0.8280219,0.52677375,0.76537347,0.86520183,0.52289736,0.8911877,0.8800601,0.5108168,0.35700366,0.93719184,0.51892304,0.35706112,0.97356004,0.4876274,0.3727077,0.85208684,0.53835684,0.37791058,0.7923718,0.5267779,0.9224018,0.813025,0.54639614,0.9120219,0.83773935,0.5189531,0.90148044,0.74628425,0.48739973,0.91732734,0.86007833,0.47566703,0.9069932,0.8315782,0.49526432,0.8965507,0.8032929,-1,149.3077753,-1,-1,-1,-1,139.8395733,-1,-1,-1,-1
2022:01:05:09:32:02,up_60_30_,1.750324965,0.5149352,0.36237183,0.942942,0.51486564,0.44107515,0.96455556,0.4717369,0.44094136,0.90290564,0.42072245,0.48803574,0.87019604,0.365899,0.524842,0.8403789,0.5541338,0.44603318,0.90580577,0.60522604,0.4828012,0.89358217,0.6522408,0.5194094,0.87602997,0.5147932,0.629268,0.86258477,0.48357853,0.6241085,0.86654365,0.48369554,0.7602257,0.91021454,0.4875746,0.89102894,0.90621716,0.54234874,0.63443226,0.8280815,0.52675533,0.7653887,0.86726487,0.5228832,0.891195,0.8820478,0.5071338,0.3570059,0.93732935,0.5189239,0.35705826,0.9728067,0.48762575,0.37270182,0.85403115,0.53835833,0.37791047,0.7911238,0.5267702,0.92240125,0.81377286,0.5463832,0.9120242,0.8364867,0.51894104,0.9014895,0.748147,0.48738128,0.91732585,0.85984087,0.47565013,0.90699166,0.82935596,0.49524048,0.8965633,0.8057351,-1,150.4025857,-1,-1,-1,-1,141.4174302,-1,-1,-1,-1
2022:01:05:09:32:03,up_60_30_,1.812159777,0.5149222,0.36238945,0.9412074,0.5148469,0.44110638,0.9608915,0.47167772,0.44096947,0.9012376,0.42071027,0.4879955,0.8838438,0.36571354,0.52484596,0.87722445,0.554128,0.44605342,0.9048946,0.60523957,0.48279765,0.8947684,0.6522677,0.5194024,0.87270176,0.5147828,0.62930626,0.86340904,0.48356918,0.6241507,0.8675516,0.48368523,0.7602231,0.9118251,0.4875654,0.8910317,0.9087956,0.5423398,0.6344649,0.8291258,0.52673554,0.76536036,0.8661932,0.5228754,0.8911865,0.8835025,0.5071278,0.35701773,0.9379735,0.51891214,0.35707468,0.9751446,0.48762357,0.37273166,0.85054904,0.53459513,0.37792543,0.79531544,0.52674913,0.9173813,0.81574523,0.54637283,0.9120234,0.83736163,0.5189414,0.9014844,0.75044215,0.48737994,0.91731596,0.8609383,0.47564882,0.90698916,0.8305977,0.4952276,0.89656454,0.8075466,-1,150.403812,-1,-1,-1,-1,141.4547302,-1,-1,-1,-1
2022:01:05:09:32:03,up_60_30_,1.885962486,0.51492184,0.36239147,0.9410759,0.5148481,0.4410938,0.96198565,0.4716794,0.44096154,0.9017066,0.4206732,0.4880016,0.8780161,0.36204585,0.5248749,0.8766253,0.55413264,0.44603544,0.9046583,0.6052257,0.48279434,0.89345354,0.6522722,0.51940244,0.8739505,0.51478213,0.629292,0.86361974,0.48355904,0.62414026,0.86656755,0.48369378,0.76017916,0.9098178,0.48756993,0.89100313,0.90528387,0.54234433,0.6344458,0.82865024,0.52679014,0.7653639,0.86254805,0.52286434,0.8960318,0.8867271,0.50712615,0.35702237,0.93757033,0.51891327,0.35707653,0.9746325,0.48762757,0.3727519,0.84823745,0.5346019,0.37793043,0.7966953,0.53059673,0.9224311,0.8120506,0.54642594,0.9120141,0.83614826,0.51890695,0.9015147,0.75167674,0.48742992,0.9173192,0.85988665,0.47568643,0.90699637,0.83317995,0.49151978,0.8965367,0.8055338,-1,150.3886556,-1,-1,-1,-1,142.3940515,-1,-1,-1,-1
2022:01:05:09:32:03,up_60_30_,1.947797298,0.5149215,0.36240363,0.9404517,0.5148389,0.44110462,0.9598859,0.46789363,0.44097468,0.9006845,0.4206714,0.48798132,0.87960166,0.3620404,0.52489525,0.8766219,0.55413157,0.44604805,0.9047242,0.6052053,0.4828405,0.8945486,0.6484377,0.51933163,0.8925449,0.5147752,0.6292944,0.86237675,0.48355183,0.6241571,0.86624885,0.48368657,0.76015025,0.9081724,0.4875945,0.8909786,0.8977702,0.5423391,0.6344356,0.82776046,0.53054315,0.76530796,0.8581778,0.5228658,0.8911723,0.88331646,0.50712764,0.35702574,0.93882114,0.5189142,0.35708198,0.97579104,0.48762524,0.37273076,0.8507377,0.5346003,0.3779366,0.7965784,0.52678037,0.917374,0.8098721,0.54640514,0.9119904,0.8359698,0.51892257,0.9014843,0.745947,0.48746872,0.9173093,0.85712826,0.47573408,0.906996,0.8319437,0.49524158,0.8965301,0.794947,-1,149.3205946,-1,-1,-1,-1,141.4339901,-1,-1,-1,-1
