Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
15:38:56:266,0.000,0.019,0.031,-0.035,-13.757,136.356,-8.792
15:38:56:266,0.000,0.020,0.011,0.007,-13.668,136.370,-8.821
15:38:56:266,0.000,0.001,-0.017,-0.005,-13.711,136.336,-8.756
15:38:56:304,0.038,0.012,0.014,-0.036,-13.659,136.321,-8.848
15:38:56:304,0.038,0.005,0.003,-0.017,-13.629,136.310,-8.891
15:38:56:305,0.039,-0.002,-0.015,-0.013,-13.670,136.293,-8.799
15:38:56:306,0.040,0.004,-0.007,-0.028,-13.623,136.296,-8.913
15:38:56:379,0.114,-0.003,0.009,-0.010,-13.717,136.374,-9.060
15:38:56:379,0.114,-0.001,0.008,-0.015,-13.713,136.396,-9.079
15:38:56:38,0.115,0.007,-0.008,-0.002,-13.643,136.433,-9.106
15:38:56:444,0.178,0.019,0.006,-0.011,-13.647,136.452,-9.151
15:38:56:444,0.178,0.009,0.020,-0.013,-13.713,136.454,-9.151
15:38:56:444,0.178,0.002,0.010,-0.018,-13.737,136.464,-9.161
15:38:56:445,0.179,0.008,0.006,-0.024,-13.635,136.473,-9.091
15:38:56:447,0.181,-0.004,-0.003,-0.017,-13.599,136.518,-8.964
15:38:56:516,0.250,0.010,0.038,-0.013,-13.979,137.528,-9.109
15:38:56:516,0.250,0.005,0.019,0.006,-14.021,137.703,-9.015
15:38:56:517,0.251,0.006,0.026,0.001,-14.012,137.708,-8.987
15:38:56:531,0.265,0.007,0.015,-0.025,-13.906,137.637,-8.997
15:38:56:547,0.281,0.006,0.001,0.007,-13.886,137.618,-8.817
15:38:56:547,0.281,0.011,-0.014,-0.004,-13.854,137.632,-8.686
15:38:56:572,0.307,0.005,0.009,-0.023,-13.839,137.620,-8.783
15:38:56:573,0.308,0.003,-0.002,-0.017,-13.881,137.672,-8.772
15:38:56:574,0.309,-0.001,-0.004,-0.012,-13.821,137.634,-8.723
