now_time,trils,duration,0_Nose,,,1_Neck,,,2_RShoulder,,,3_RElbow,,,4_RWrist,,,5_LShoulder,,,6_LElbow,,,7_LWrist,,,8_MidHip,9_RHip,,,10_RKnee,,,11_RAnkle,,,12_LHip,,,13_LKnee,,,14_LAnkle,,,15_REye,,,16_LEye,,,17_REar,18_LEar,,,19_LBigToe,,,20_LSmallToe,,,21_LHeel,,,22_RBigToe,,,23_RSmallToe,,,24_RHeel,,,25_Background,,,26_A_Lneck,27_A_Lshoulder,28_A_Lelbow,29_A_Lhip,30_A_Lknee,31_A_Rneck,32_A_Rshoulder,33_A_Relbow,34_A_Rhip,35_A_Rknee,36_A_middle_left_neck
2022:01:05:14:40:17,up_120_60_,0.6751954555511475,0.51104105,0.39881986,0.9556225,0.5188985,0.47202995,0.906069,0.4833546,0.4723369,0.9098448,0.47176078,0.56133085,0.87339485,0.47964615,0.6345614,0.87495476,0.56202453,0.4617383,0.83908796,0.57755536,0.5508085,0.91327965,0.5187638,0.56663424,0.9597044,0.518923,0.6502518,0.89895946,0.49522138,0.6502261,0.8725459,0.4913852,0.78124696,0.8904229,0.48765674,0.9068325,0.9138944,0.5463566,0.65029144,0.91780126,0.546222,0.781236,0.91044533,0.5500643,0.90695786,0.91030353,0.4991978,0.39349553,0.9053405,0.5187326,0.38852328,0.9321344,0.49145564,0.39878932,0.2180566,0.5423205,0.3935564,0.88737786,0.5502538,0.9433753,0.92039967,0.56980383,0.93841517,0.8446801,0.5462906,0.92770565,0.81198335,0.48359796,0.9382717,0.91706705,0.479483,0.93308395,0.8410701,0.4992055,0.9225557,0.815934,-1.00,54.16585732366462,-1,-1,-1,-1,91.80431028626215,-1,-1,-1,-1
2022:01:05:14:40:17,up_120_60_,0.8287856578826904,0.51492584,0.39386106,0.9902936,0.5189313,0.47211444,0.9134928,0.48338884,0.4772345,0.9240366,0.47571102,0.56629735,0.9034035,0.48339662,0.639642,0.90443075,0.56585956,0.46181628,0.8365034,0.5776197,0.5508119,0.9159534,0.51882035,0.56674254,0.926061,0.5189808,0.65025294,0.89969736,0.4953244,0.6502371,0.86556464,0.49139237,0.7811376,0.89954585,0.48765355,0.906836,0.9165323,0.5464028,0.6502805,0.926916,0.54623777,0.7811963,0.9216053,0.5501015,0.9070174,0.90611506,0.5070439,0.38847378,0.8972811,0.51898205,0.38832626,0.9139375,0.4914447,0.39391944,0.63951236,0.5423943,0.39362067,0.90937513,0.5502722,0.94336,0.91866654,0.56981546,0.93842524,0.8445222,0.54633266,0.92778414,0.8181287,0.48356023,0.9382814,0.9249923,0.47944584,0.9379029,0.84269524,0.49921528,0.9225896,0.8258447,-1.00,53.475875265626826,-1,-1,-1,-1,98.1945995701676,-1,-1,-1,-1
2022:01:05:14:40:17,up_120_60_,0.9085719585418701,0.5501285,0.4301701,0.9206243,0.53840816,0.47734383,0.91527957,0.48749804,0.4772551,0.9337865,0.48360494,0.56134444,0.95147467,0.49149403,0.63971734,0.85146856,0.5778546,0.47725162,0.9579654,0.5856184,0.5610619,0.9229572,0.5422347,0.5821195,0.8349192,0.53448045,0.6502167,0.85095835,0.51086086,0.65015215,0.8699478,0.49915892,0.77620006,0.85985446,0.48760408,0.90680796,0.92831415,0.5542902,0.65034133,0.87045056,0.55022955,0.776105,0.94427186,0.54643786,0.9068039,0.9333633,0.54612327,0.40423694,0.9145958,0.5541965,0.40435484,0.8723768,0.5187683,0.39908504,0.9621765,0.56201124,0.40408632,0.07453018,0.5540929,0.9432092,0.9243608,0.5699086,0.9382308,0.8735697,0.5424133,0.922547,0.79109097,0.48737872,0.9383175,0.8998403,0.47956717,0.93797874,0.8345376,0.49526036,0.9225762,0.8185793,-1.00,71.10529162416164,-1,-1,-1,-1,88.49116487580264,-1,-1,-1,-1
2022:01:05:14:40:18,up_120_60_,0.9804074764251709,0.5464154,0.41979146,0.9054783,0.542265,0.47735122,0.93365794,0.48763612,0.47726312,0.9193905,0.48733538,0.56635916,0.95755523,0.49522632,0.6448051,0.9054717,0.5814916,0.4772398,0.94798577,0.5894924,0.56108916,0.91414565,0.54223603,0.5768931,0.84504056,0.5345316,0.65033984,0.8421848,0.5109069,0.6502583,0.8648889,0.49535444,0.78131855,0.8422752,0.48759994,0.90687376,0.9229577,0.55802715,0.65046936,0.853762,0.55022216,0.78111404,0.92969924,0.5464471,0.90682244,0.9313137,0.54228806,0.39907402,0.92055863,0.55043024,0.39916044,0.9276842,0.518704,0.3987494,0.96657413,0.56202686,0.399111,0.32641616,0.5541279,0.9384311,0.91494733,0.5699097,0.93818456,0.8676163,0.54242283,0.92255527,0.7914126,0.4873564,0.93830675,0.89123297,0.4795621,0.93798745,0.8296524,0.4952413,0.92760944,0.82394624,-1.00,68.33670330791523,-1,-1,-1,-1,87.31368901780289,-1,-1,-1,-1
2022:01:05:14:40:18,up_120_60_,1.0661506652832031,0.5461885,0.40939784,0.9093552,0.5423416,0.47732756,0.9372705,0.4913143,0.47718158,0.9045769,0.48731557,0.5613493,0.9599873,0.4952667,0.6396145,0.86861163,0.58152455,0.47727546,0.9426682,0.5857131,0.5612052,0.9190253,0.5384933,0.577091,0.8313862,0.5345285,0.650348,0.8441085,0.5108804,0.6502388,0.86968577,0.49525756,0.78635585,0.84031004,0.48759696,0.9069854,0.912744,0.5580582,0.65050167,0.8470462,0.5502049,0.78118384,0.92728955,0.5464516,0.90682775,0.9295371,0.53453207,0.39882758,0.91218245,0.55020267,0.39889425,0.96848536,0.5150646,0.3938676,0.95153296,0.5581455,0.39897066,0.5794938,0.5541467,0.94320977,0.9184549,0.5736243,0.9382184,0.8745489,0.54243165,0.9225583,0.7897846,0.48729804,0.93837345,0.8818222,0.47951505,0.93804973,0.8219037,0.49525425,0.9277285,0.82730496,-1.00,66.60256029090388,-1,-1,-1,-1,88.44221712090157,-1,-1,-1,-1
2022:01:05:14:40:18,up_120_60_,1.1339731216430664,0.5384453,0.40934655,0.8688443,0.54606074,0.47724608,0.9299632,0.49147084,0.47234753,0.87716025,0.48733506,0.56116337,0.9611156,0.4952197,0.6241325,0.8551433,0.5815657,0.47722343,0.93042237,0.58950037,0.5611343,0.9079113,0.5424292,0.57709867,0.8559667,0.53451306,0.6503416,0.843719,0.51088786,0.6502076,0.86792505,0.49528113,0.78629065,0.84404045,0.48760054,0.90699273,0.912761,0.55801076,0.6505235,0.85088396,0.5501867,0.78123343,0.9252652,0.5464478,0.90685135,0.926553,0.52289426,0.39881924,0.915306,0.5463691,0.3988526,0.9682801,0.5150584,0.3937917,0.7805482,0.5581039,0.39873666,0.8864223,0.5541142,0.94326043,0.92606515,0.5736143,0.9382615,0.8753394,0.5424424,0.92257184,0.7884334,0.48731658,0.93836313,0.875137,0.47953865,0.9380468,0.81915504,0.49526012,0.92772853,0.82548267,-1.00,68.56554269227365,-1,-1,-1,-1,83.45754354968338,-1,-1,-1,-1
2022:01:05:14:40:18,up_120_60_,1.212759017944336,0.52661884,0.39916497,0.90664136,0.54611045,0.4723533,0.9328095,0.49148527,0.47220623,0.8657062,0.48729607,0.5561045,0.94611657,0.49522665,0.61362934,0.8630561,0.5816836,0.47235137,0.90983737,0.58571213,0.5611924,0.91725296,0.5385022,0.5771055,0.8303726,0.53065366,0.6502456,0.84814984,0.50709695,0.65011156,0.85969263,0.49522874,0.78634673,0.84715027,0.48760006,0.9070336,0.90783584,0.554258,0.65042317,0.8601698,0.5501615,0.78129447,0.92010427,0.546444,0.90683764,0.92577356,0.5188427,0.39375743,0.96339643,0.5423247,0.39374337,0.9401505,0.5149921,0.39361662,0.15584077,0.55419785,0.3937945,0.9364877,0.5541088,0.9432859,0.9306333,0.57363003,0.9382782,0.88289815,0.5424438,0.92254776,0.79135776,0.4836589,0.9384111,0.87899214,0.47950447,0.93807507,0.821944,0.49528664,0.92777914,0.8270592,-1.00,67.5946288780945,-1,-1,-1,-1,88.33031485174124,-1,-1,-1,-1
2022:01:05:14:40:18,up_120_60_,1.2775852680206299,0.51903164,0.3991285,0.93833137,0.5461502,0.4723249,0.93439084,0.49527976,0.4722017,0.8517445,0.4873804,0.5609959,0.9460089,0.49153933,0.62400305,0.8554855,0.58167934,0.47232547,0.9084468,0.58563477,0.56121176,0.92016715,0.53455895,0.5769349,0.8272508,0.5344512,0.650322,0.84184,0.510875,0.6501778,0.86803913,0.49523497,0.7864297,0.8428199,0.48764223,0.9069685,0.9062504,0.55425966,0.6505052,0.84774524,0.5501241,0.78629214,0.9132343,0.5464608,0.90684533,0.9240737,0.5186558,0.3937448,0.9553595,0.53454155,0.3936969,0.910607,0.0,0.0,0.0,0.5541068,0.3937359,0.9439453,0.5504348,0.94325155,0.92985207,0.5699171,0.93826693,0.87741256,0.5461077,0.9225597,0.7945189,0.48363158,0.9383309,0.88872,0.47950965,0.9379711,0.8228046,0.4953545,0.9277218,0.8239973,-1.00,65.75214541580638,-1,-1,-1,-1,91.27273525626089,-1,-1,-1,-1
2022:01:05:14:40:18,up_120_60_,1.354405403137207,0.51884204,0.39878523,0.96238804,0.54614586,0.4723453,0.93100804,0.49527493,0.4721667,0.85052466,0.48733196,0.5610427,0.9553226,0.49141318,0.61379206,0.8600104,0.58167934,0.47231263,0.9045857,0.58564216,0.5612393,0.92020774,0.53063685,0.5719244,0.8277306,0.5306193,0.6503405,0.84423846,0.5071307,0.6502006,0.8642245,0.49147838,0.7915969,0.8442963,0.4912976,0.906919,0.9045215,0.554172,0.65051883,0.85282624,0.5464841,0.79155266,0.9035288,0.5500561,0.9068511,0.9238311,0.5150035,0.388579,0.90578365,0.5267508,0.3934191,0.89185864,0.0,0.0,0.0,0.55040073,0.39369482,0.9638894,0.5504392,0.94330484,0.9310645,0.57364076,0.93832105,0.88428986,0.54620075,0.9225619,0.80255836,0.48361382,0.93830633,0.90959644,0.47950917,0.9379196,0.8401404,0.49919158,0.9276496,0.82429963,-1.00,62.816078191356084,-1,-1,-1,-1,91.36075782937375,-1,-1,-1,-1
2022:01:05:14:40:18,up_120_60_,1.4162423610687256,0.51881886,0.39888653,0.9651341,0.5461585,0.4723166,0.93533635,0.4953209,0.47212872,0.8510191,0.4836341,0.56104857,0.9507178,0.48762858,0.6138009,0.87595505,0.5816769,0.47232857,0.9055164,0.58556336,0.5612361,0.92286384,0.5267871,0.5769872,0.83075744,0.52670354,0.6504561,0.8480298,0.50697714,0.65028673,0.8538787,0.4914301,0.79160285,0.85497624,0.49129614,0.9069245,0.9037472,0.5504377,0.6554834,0.8647495,0.5464584,0.7917152,0.9048628,0.5500734,0.9069218,0.9167182,0.5149906,0.39348698,0.8988952,0.52668506,0.39349625,0.8997754,0.0,0.0,0.0,0.55033976,0.39366752,0.9648635,0.5504444,0.9433258,0.9212481,0.5736339,0.9383505,0.87896085,0.54624104,0.9276228,0.8040761,0.4835954,0.93834585,0.9138665,0.47949195,0.9379507,0.84782624,0.4992076,0.92763865,0.82488954,-1.00,62.343885191053495,-1,-1,-1,-1,92.8961708842782,-1,-1,-1,-1
