now_time,trils,duration,0_Nose,,,1_Neck,,,2_RShoulder,,,3_RElbow,,,4_RWrist,,,5_LShoulder,,,6_LElbow,,,7_LWrist,,,8_MidHip,9_RHip,,,10_RKnee,,,11_RAnkle,,,12_LHip,,,13_LKnee,,,14_LAnkle,,,15_REye,,,16_LEye,,,17_REar,18_LEar,,,19_LBigToe,,,20_LSmallToe,,,21_LHeel,,,22_RBigToe,,,23_RSmallToe,,,24_RHeel,,,25_Background,,,26_A_Lneck,27_A_Lshoulder,28_A_Lelbow,29_A_Lhip,30_A_Lknee,31_A_Rneck,32_A_Rshoulder,33_A_Relbow,34_A_Rhip,35_A_Rknee,36_A_middle_left_neck
2022:01:05:14:20:33,down_90_60_,1.485034465789795,0.4795332,0.3939218,0.93705755,0.5149427,0.4565891,0.75690603,0.51471984,0.44625974,0.7338308,0.5148329,0.56115896,0.06868041,0.0,0.0,0.0,0.51874393,0.46693903,0.8889389,0.5149852,0.5612996,0.91831636,0.4914646,0.6500626,0.92681146,0.5108651,0.64512634,0.6642258,0.50312394,0.6450181,0.62985295,0.4953193,0.7707056,0.62682164,0.5109595,0.89637625,0.58211863,0.51477754,0.6501346,0.86333346,0.510956,0.77087456,0.81878006,0.5150818,0.9017329,0.8491671,0.47954658,0.38847435,0.093418464,0.48357546,0.38853797,0.9372282,0.0,0.0,0.0,0.5109862,0.39361414,0.92912775,0.47957045,0.91203314,0.7552976,0.48739868,0.9328002,0.79781604,0.5266842,0.9225232,0.7540588,0.47947165,0.9016977,0.25572953,0.48356497,0.90155035,0.20845406,0.51890063,0.9016889,0.24895373,-1.00,151.36033534117325,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022:01:05:14:20:33,down_90_60_,1.5468688011169434,0.4795301,0.39391473,0.93462884,0.5149751,0.45653656,0.74402523,0.51481414,0.44623446,0.7325365,0.51486486,0.561141,0.07137417,0.0,0.0,0.0,0.5187141,0.46186382,0.88351816,0.5149956,0.5612789,0.9192724,0.4914722,0.65005165,0.9252002,0.5109413,0.64511573,0.6567848,0.50704104,0.6450372,0.61997664,0.49539202,0.7707043,0.5916234,0.51100844,0.8963612,0.55269307,0.51477885,0.6501262,0.8613429,0.5109436,0.77089334,0.8122773,0.5150666,0.9017282,0.8532203,0.47957876,0.38851428,0.08219496,0.4835733,0.38852784,0.9343859,0.0,0.0,0.0,0.51097286,0.39361784,0.92703253,0.47957164,0.9120077,0.75628465,0.48738196,0.93278235,0.79746705,0.52667445,0.9225138,0.7569171,0.4795033,0.90169704,0.23281999,0.48362237,0.9015943,0.18642059,0.5189383,0.9016799,0.23356098,-1.00,136.69957394803865,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022:01:05:14:20:34,down_90_60_,1.6266565322875977,0.4795398,0.39392677,0.9325925,0.51504016,0.45651835,0.738221,0.51502055,0.4462394,0.7139764,0.5149744,0.5610691,0.06657193,0.0,0.0,0.0,0.515101,0.46183378,0.87932056,0.5150132,0.5612792,0.923259,0.49145776,0.6500374,0.9234374,0.5110008,0.6451902,0.63760376,0.5109454,0.6451723,0.607917,0.49923477,0.77079,0.56510824,0.51099455,0.8963921,0.53870153,0.5147303,0.65018123,0.8430424,0.5109666,0.77578354,0.8137052,0.51505435,0.9017572,0.8550271,0.48326853,0.39346528,0.07078992,0.48357064,0.38852847,0.9321816,0.0,0.0,0.0,0.5109459,0.39359426,0.92491704,0.47952968,0.9120708,0.7573908,0.48734838,0.9328336,0.80579555,0.5266529,0.9225489,0.7621434,0.47570395,0.90176946,0.22115916,0.48359382,0.90166503,0.17568704,0.5189241,0.9016981,0.22950499,-1.00,172.18372390722595,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022:01:05:14:20:34,down_90_60_,1.6984641551971436,0.47954917,0.39391282,0.93235683,0.5150674,0.45647386,0.73661697,0.5186839,0.44620275,0.7113396,0.5187084,0.56103796,0.07041036,0.0,0.0,0.0,0.51506436,0.46181095,0.87850773,0.51503044,0.5613133,0.92796177,0.49145752,0.65002614,0.9222933,0.5146823,0.6451769,0.63312376,0.5146881,0.64517576,0.6015677,0.5030726,0.77075,0.530272,0.5110304,0.8963755,0.50210106,0.51473767,0.6501631,0.84255993,0.51096374,0.77574754,0.8042932,0.51504153,0.90172696,0.8563069,0.48326957,0.39342204,0.07499103,0.4835822,0.38851887,0.93155205,0.0,0.0,0.0,0.5109465,0.39359668,0.924866,0.47953415,0.9120542,0.7518944,0.4873482,0.9328249,0.7978507,0.52664363,0.9225255,0.754346,0.4794791,0.90180373,0.20060362,0.48364022,0.90171665,0.15446967,0.5189408,0.90167147,0.20957676,-1.00,172.88365892034332,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022:01:05:14:20:34,down_90_60_,1.7583043575286865,0.4795469,0.39391965,0.932069,0.51865953,0.45648047,0.74134344,0.51874804,0.44622275,0.71522725,0.5188251,0.5560753,0.075980686,0.0,0.0,0.0,0.5150423,0.4617787,0.8804901,0.5150105,0.56133574,0.92946166,0.49144715,0.65005195,0.92142326,0.5147052,0.64515823,0.63368964,0.5147588,0.6451549,0.6031065,0.5031824,0.7707351,0.5217644,0.5146937,0.89635867,0.4929034,0.51472056,0.6501503,0.83648014,0.51095355,0.775739,0.8021563,0.51503855,0.901713,0.8547152,0.48325583,0.39346275,0.06958389,0.48357704,0.38852382,0.93233883,0.0,0.0,0.0,0.51093537,0.3935862,0.92368925,0.479561,0.9120275,0.7457259,0.48735473,0.93279964,0.7901997,0.52663976,0.92250353,0.7495359,0.47951424,0.90177286,0.19528079,0.4873566,0.90171564,0.1486666,0.51898056,0.90166175,0.20669058,-1.00,152.82099950773375,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022:01:05:14:20:34,down_90_60_,1.8380911350250244,0.47954524,0.3939328,0.92678285,0.5187009,0.4514142,0.7463763,0.51883256,0.4462287,0.7056263,0.5187719,0.5560229,0.078687765,0.0,0.0,0.0,0.5150343,0.45660615,0.8808485,0.5149945,0.56122285,0.923079,0.49150226,0.6452616,0.9184447,0.5147466,0.6450297,0.64085376,0.5148307,0.64501435,0.6086993,0.5108371,0.77062976,0.5407078,0.5147006,0.8963039,0.5050956,0.5147208,0.6451842,0.8326613,0.51091236,0.77085465,0.80029523,0.5149778,0.9016723,0.8598521,0.0,0.0,0.0,0.4835568,0.38852364,0.9272339,0.0,0.0,0.0,0.510878,0.3935749,0.9212258,0.47947648,0.90699774,0.7411099,0.48730245,0.92778486,0.7853184,0.52286226,0.9224755,0.758898,0.47949862,0.9017053,0.19461262,0.48732683,0.90167224,0.14684904,0.5189921,0.9016367,0.21251045,-1.00,151.88019461812598,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022:01:05:14:20:34,down_90_60_,1.913888692855835,0.4795695,0.39874172,0.926567,0.5187163,0.45141137,0.7442735,0.5187828,0.4462215,0.7037158,0.51883787,0.5610166,0.08928053,0.0,0.0,0.0,0.51509887,0.4566019,0.88013434,0.5150861,0.56128085,0.92681396,0.49530393,0.64524466,0.91184133,0.5147833,0.6449369,0.64136195,0.51482123,0.6449056,0.5953412,0.510978,0.7705701,0.5417168,0.5147546,0.89629734,0.49643523,0.51478976,0.6450815,0.8482398,0.5108743,0.77081317,0.7967572,0.5149333,0.9016481,0.8512926,0.0,0.0,0.0,0.48357418,0.38858086,0.9278271,0.0,0.0,0.0,0.51091003,0.3935663,0.92612547,0.47946152,0.90692824,0.73262554,0.4836622,0.92772156,0.7774184,0.5228319,0.92247707,0.7520624,0.47960973,0.90170443,0.17957982,0.4873999,0.9016955,0.13584019,0.5227464,0.9016665,0.20972294,-1.00,151.11670539293746,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022:01:05:14:20:34,down_90_60_,1.977717638015747,0.4795709,0.39873865,0.92713845,0.51870835,0.45140058,0.7456975,0.5187706,0.44621268,0.7056793,0.5188282,0.5610085,0.08899457,0.0,0.0,0.0,0.51509786,0.45659173,0.88046825,0.51507956,0.56126606,0.92533827,0.4953054,0.64525056,0.9123544,0.5147887,0.6449327,0.6447059,0.5148175,0.6449006,0.5968145,0.51097876,0.77057415,0.54563916,0.5147588,0.8963034,0.5017853,0.51480716,0.64507484,0.8525443,0.5108847,0.7708142,0.79708374,0.5149369,0.901654,0.85092366,0.48350143,0.39373565,0.051247284,0.48357642,0.38857886,0.92843616,0.0,0.0,0.0,0.5109172,0.39357126,0.92836475,0.47944146,0.9069264,0.73364615,0.48365775,0.9277274,0.78022504,0.5228386,0.9224828,0.7532461,0.47958225,0.90170085,0.18393756,0.48738277,0.9016907,0.13823046,0.522766,0.9016754,0.21151766,-1.00,151.17009726136126,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022:01:05:14:20:34,down_90_60_,2.0405497550964355,0.47957814,0.3987496,0.92746913,0.5187153,0.45141023,0.74818504,0.5187734,0.44622305,0.7051878,0.51885307,0.5610337,0.09352809,0.0,0.0,0.0,0.5186539,0.45659545,0.8804631,0.5186532,0.56131047,0.92683744,0.49529776,0.64525187,0.9111094,0.51478094,0.64494234,0.6426388,0.51480263,0.64490646,0.5948225,0.51095587,0.7705719,0.53933305,0.5147491,0.8962915,0.49405476,0.51481,0.6450926,0.8524412,0.5108987,0.77082413,0.79685634,0.5149454,0.9016512,0.8523139,0.4835079,0.39373237,0.051412277,0.48358336,0.39341244,0.92895293,0.0,0.0,0.0,0.51093036,0.39356554,0.93021286,0.47945407,0.90693676,0.7338652,0.48366714,0.92774063,0.7796528,0.5228474,0.9224699,0.75240296,0.47959018,0.9017007,0.18159157,0.48738405,0.9016896,0.1368179,0.5227467,0.90165377,0.20799036,-1.00,173.62088814335604,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022:01:05:14:20:34,down_90_60_,2.1023848056793213,0.47958717,0.3987675,0.92633086,0.51871383,0.45644775,0.7390053,0.51874894,0.44624504,0.70128655,0.5187751,0.5561029,0.081659704,0.0,0.0,0.0,0.5186694,0.45664638,0.8751326,0.51503855,0.56132865,0.9274887,0.495269,0.64524806,0.9128159,0.51469433,0.64493567,0.60695887,0.51469505,0.6448976,0.5610113,0.51083016,0.7705491,0.5035299,0.51471776,0.89631486,0.4660947,0.51476914,0.6451044,0.8361721,0.5108894,0.77079344,0.79321134,0.5149725,0.90168226,0.85487926,0.48347184,0.3936858,0.053936154,0.48359773,0.39342883,0.9311439,0.0,0.0,0.0,0.51096654,0.3935704,0.93309736,0.47949043,0.90697914,0.73163563,0.48731565,0.927793,0.77695596,0.52287626,0.92248833,0.74788404,0.47956204,0.9017445,0.17653282,0.48735726,0.9017294,0.13241337,0.522706,0.90167403,0.19304033,-1.00,174.4711248093255,-1,-1,-1,-1,-1,-1,-1,-1,-1
