Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
09:39:53:424,2.870,0.003,-0.006,0.007,2.285,114.576,-21.696
09:39:53:449,2.894,0.004,-0.005,0.004,2.288,114.576,-21.690
09:39:53:449,2.894,0.011,0.005,0.011,2.292,114.591,-21.690
09:39:53:45,2.895,0.011,0.000,0.016,2.272,114.601,-21.734
09:39:53:451,2.896,0.002,-0.019,0.010,2.195,114.603,-21.911
09:39:53:579,3.025,0.006,-0.006,0.004,1.838,114.572,-23.213
09:39:53:579,3.025,-0.001,0.009,0.001,1.852,114.585,-23.366
09:39:53:596,3.042,0.002,0.019,0.006,1.891,114.631,-23.463
09:39:53:65,3.095,0.008,0.011,0.007,1.955,114.708,-23.490
09:39:53:68,3.125,-0.004,0.036,-0.007,1.991,114.755,-23.578
09:39:53:681,3.126,-0.009,0.032,-0.007,2.029,114.827,-23.641
09:39:53:756,3.201,0.002,0.037,0.000,2.007,114.867,-23.596
09:39:53:914,3.359,-0.001,0.002,-0.008,1.913,114.888,-23.570
09:39:54:003,3.448,-0.016,-0.003,-0.033,1.717,114.815,-23.956
09:39:54:003,3.448,-0.002,-0.012,-0.032,1.605,114.730,-24.286
09:39:54:003,3.448,0.000,-0.019,0.014,1.527,114.649,-24.387
09:39:54:073,3.518,-0.001,-0.008,0.019,1.455,114.468,-24.362
09:39:54:236,3.681,0.018,-0.009,0.020,1.423,114.365,-24.360
09:39:54:237,3.682,0.010,-0.010,0.029,1.387,114.266,-24.402
09:39:54:237,3.682,0.005,0.018,0.007,1.407,114.224,-24.518
09:39:54:238,3.683,0.017,0.024,0.015,1.452,114.224,-24.584
09:39:54:316,3.761,0.001,0.004,-0.009,1.498,114.305,-24.548
09:39:54:316,3.761,-0.002,0.012,-0.008,1.489,114.335,-24.579
09:39:54:317,3.762,0.003,0.005,-0.001,1.474,114.380,-24.545
09:39:54:394,3.840,0.007,-0.013,0.007,1.189,114.055,-24.578
09:39:54:395,3.841,0.013,0.005,0.014,1.128,113.968,-24.624
09:39:54:396,3.842,0.014,-0.011,0.026,1.099,113.951,-24.621
09:39:54:419,3.865,0.017,-0.019,0.038,1.104,113.944,-24.608
09:39:54:42,3.866,0.011,-0.003,0.000,1.112,113.961,-24.720
09:39:54:421,3.867,0.019,-0.025,0.000,1.060,113.984,-24.971
09:39:54:421,3.867,-0.010,-0.005,-0.004,0.951,113.935,-25.332
09:39:54:47,3.915,-0.009,0.019,-0.006,0.933,113.913,-25.478
09:39:54:47,3.915,0.004,0.003,0.000,0.947,113.936,-25.529
09:39:54:47,3.915,-0.002,-0.009,0.000,0.953,113.947,-25.505
09:39:54:49,3.935,-0.005,0.011,-0.016,0.987,113.957,-25.495
09:39:54:543,3.988,-0.002,0.026,-0.011,0.994,113.978,-25.440
09:39:54:572,4.017,0.005,0.007,0.014,0.971,113.934,-25.294
09:39:54:654,4.099,0.003,0.025,-0.006,0.943,113.946,-25.319
09:39:54:654,4.099,0.006,0.009,-0.002,0.901,113.958,-25.270
09:39:54:655,4.100,0.003,-0.012,0.000,0.865,113.946,-25.232
09:39:55:288,4.733,0.008,-0.002,0.025,1.046,114.147,-25.246
09:39:55:366,4.811,0.002,0.010,0.004,0.443,113.523,-25.977
09:39:55:366,4.811,0.001,0.007,0.007,0.293,113.413,-25.973
09:39:55:367,4.812,0.011,-0.003,0.015,0.227,113.372,-25.878
09:39:55:391,4.836,0.012,-0.011,0.007,0.195,113.388,-25.847
09:39:55:392,4.837,-0.002,0.000,-0.002,0.156,113.406,-25.844
09:39:55:392,4.837,-0.006,0.004,-0.014,0.145,113.408,-25.783
