now_time,trils,duration,0_Nose,,,1_Neck,,,2_RShoulder,,,3_RElbow,,,4_RWrist,,,5_LShoulder,,,6_LElbow,,,7_LWrist,,,8_MidHip,9_RHip,,,10_RKnee,,,11_RAnkle,,,12_LHip,,,13_LKnee,,,14_LAnkle,,,15_REye,,,16_LEye,,,17_REar,18_LEar,,,19_LBigToe,,,20_LSmallToe,,,21_LHeel,,,22_RBigToe,,,23_RSmallToe,,,24_RHeel,,,25_Background,,,26_A_Lneck,27_A_Lshoulder,28_A_Lelbow,29_A_Lhip,30_A_Lknee,31_A_Rneck,32_A_Rshoulder,33_A_Relbow,34_A_Rhip,35_A_Rknee,36_A_middle_left_neck
2022:01:05:10:38:19,up_60_60_,0.6532585620880127,0.5189938,0.41474986,0.889276,0.51878405,0.4721369,0.914819,0.47948062,0.47202867,0.86830306,0.42477965,0.51933694,0.93956196,0.38150874,0.5666677,0.883711,0.561989,0.47230807,0.8628433,0.60924417,0.52456105,0.94429636,0.6522329,0.5823046,0.8284483,0.51502734,0.6397042,0.91728395,0.48751587,0.6396516,0.91005516,0.48761663,0.770425,0.93275875,0.48727942,0.89613384,0.9376891,0.54245514,0.6397279,0.8891113,0.5345309,0.7704967,0.8859267,0.5227145,0.891182,0.90472245,0.5149743,0.39909938,0.97284716,0.53445834,0.39914063,0.88960266,0.495379,0.39915377,0.8528922,0.54639083,0.39925078,0.801255,0.53449136,0.9172321,0.8185772,0.5463963,0.9068619,0.863712,0.5187402,0.9014495,0.7792758,0.49131146,0.91734904,0.81192845,0.47957897,0.91210854,0.80253494,0.4873738,0.9014322,0.8352217,-1.00,129.59327588981066,-1,-1,-1,-1,135.83353788542775,-1,-1,-1,-1
2022:01:05:10:38:19,up_60_60_,0.7948813438415527,0.5227721,0.41466114,0.8669679,0.51885515,0.4720597,0.9099096,0.47950387,0.4669846,0.8636853,0.42473376,0.51921344,0.9260198,0.38150144,0.5663237,0.90658027,0.5658695,0.47224215,0.8569511,0.612868,0.5195128,0.95034486,0.65615547,0.5716766,0.8546403,0.5150647,0.63969797,0.91780746,0.48755708,0.6396266,0.9027156,0.4876051,0.7703627,0.927624,0.48730454,0.89117515,0.92679614,0.5460849,0.6397294,0.8952424,0.5345634,0.77048725,0.88407224,0.519077,0.89108855,0.9063797,0.5187167,0.39897168,0.96392965,0.5384626,0.39911863,0.8970178,0.50321054,0.3988319,0.8286276,0.55006343,0.39918724,0.7607935,0.5344912,0.9121434,0.8286377,0.5463953,0.90679413,0.8785046,0.5186977,0.90138143,0.7883939,0.49140134,0.9172277,0.8151411,0.4796567,0.91202515,0.81861883,0.48738047,0.8965526,0.8369446,-1.00,132.4616268290508,-1,-1,-1,-1,127.2631052736035,-1,-1,-1,-1
2022:01:05:10:38:19,up_60_60_,0.8607041835784912,0.5148669,0.3934442,0.9563153,0.51491237,0.44614896,0.9388957,0.47560003,0.4460982,0.8614628,0.41681662,0.47752392,0.89293814,0.3384029,0.48275912,0.8654415,0.5541982,0.44613546,0.8925603,0.6129084,0.4773862,0.9349401,0.6797579,0.48279068,0.9195323,0.5148958,0.6292795,0.86386997,0.4872699,0.6292835,0.8665754,0.48725665,0.7704441,0.94755983,0.4873731,0.8910581,0.9116764,0.5424084,0.629273,0.8282057,0.5383612,0.77046674,0.881654,0.522779,0.8910606,0.8821977,0.50703454,0.37791365,0.85373336,0.5188286,0.37795308,0.90669155,0.48757118,0.39340705,0.8618417,0.53452677,0.38857692,0.8241875,0.5228864,0.9121681,0.84107846,0.5462191,0.9069002,0.865701,0.51888233,0.89647603,0.7851266,0.48736754,0.9172276,0.85234445,0.47558436,0.90694195,0.8110716,0.48765886,0.89646965,0.82346946,-1.00,163.70595880933743,-1,-1,-1,-1,164.96537199902514,-1,-1,-1,-1
2022:01:05:10:38:19,up_60_60_,0.9444801807403564,0.5149079,0.39347506,0.9673172,0.5148798,0.44607905,0.9401816,0.47556493,0.44600454,0.85781294,0.4168702,0.47738847,0.8833213,0.33832258,0.47765934,0.860681,0.55417216,0.44606477,0.8979168,0.61295736,0.4772864,0.91637105,0.6798731,0.48261136,0.9011921,0.5148958,0.62402296,0.8631135,0.48724794,0.6240069,0.8677027,0.483693,0.77037835,0.93976676,0.48734403,0.8910263,0.9112366,0.5424215,0.6240402,0.8296475,0.53835195,0.77039135,0.87644637,0.5227975,0.8910282,0.8781906,0.5071185,0.37795213,0.8608687,0.51886725,0.3780217,0.9076477,0.48763707,0.3934098,0.85396326,0.5345733,0.39343265,0.828964,0.52288806,0.91216683,0.8366876,0.5462309,0.90690464,0.8617466,0.5188925,0.89645785,0.77967954,0.48736843,0.917205,0.85704184,0.4755701,0.9069313,0.8137334,0.48762995,0.8964459,0.8302653,-1.00,163.76779945590854,-1,-1,-1,-1,166.90334451531876,-1,-1,-1,-1
2022:01:05:10:38:19,up_60_60_,1.0122992992401123,0.5149198,0.3934997,0.97007453,0.51487964,0.44606355,0.9411448,0.4755696,0.4459711,0.8609998,0.42054105,0.4774219,0.88573027,0.3383659,0.4777086,0.8609384,0.5541594,0.4460788,0.89866585,0.61296594,0.47730938,0.9232762,0.6798045,0.4826853,0.9190353,0.5149002,0.6240269,0.862416,0.48725674,0.62400776,0.86663365,0.48725268,0.7703872,0.9396315,0.48736852,0.8910407,0.91240126,0.5424208,0.6240444,0.8283706,0.5383548,0.7704106,0.8793634,0.5227992,0.8910547,0.879169,0.5108225,0.37799132,0.8641364,0.51887983,0.37806672,0.90668786,0.48765412,0.39340815,0.85407984,0.5345814,0.3934576,0.8301642,0.5228808,0.91718566,0.8380655,0.54621315,0.9069313,0.8611939,0.5189041,0.89647585,0.78450286,0.48732707,0.9172421,0.8548704,0.47179106,0.9069421,0.81249785,0.49128783,0.89646655,0.8244903,-1.00,163.77886338145018,-1,-1,-1,-1,166.84086053406298,-1,-1,-1,-1
2022:01:05:10:38:19,up_60_60_,1.0741381645202637,0.51492006,0.39347136,0.9675927,0.5148814,0.44604877,0.9418711,0.47559214,0.44114897,0.86204576,0.42057347,0.4773598,0.8862526,0.34221599,0.48247525,0.8586759,0.5541568,0.44604784,0.9001073,0.61296153,0.4773148,0.9242966,0.6798589,0.48274282,0.9040027,0.5149116,0.6240201,0.86376905,0.48726088,0.62401456,0.8668601,0.48369443,0.7655455,0.9366554,0.48734567,0.8910835,0.91329396,0.5424442,0.6240229,0.8315138,0.53836757,0.7704116,0.8791333,0.52280223,0.89108926,0.87894833,0.5108274,0.3779553,0.86428607,0.51887715,0.37803474,0.9067316,0.48765862,0.3933981,0.8512102,0.5345734,0.39344615,0.82479525,0.5228646,0.9172204,0.8369222,0.546207,0.90696496,0.85451317,0.5189044,0.8965025,0.78175664,0.48731628,0.91728497,0.8546008,0.4717699,0.9069773,0.80780953,0.48764458,0.89649695,0.82480305,-1.00,163.72506971247267,-1,-1,-1,-1,155.67581699138907,-1,-1,-1,-1
2022:01:05:10:38:19,up_60_60_,1.1419525146484375,0.51489776,0.3934139,0.95944405,0.5148711,0.44613856,0.9360774,0.47172806,0.44608045,0.8528535,0.41677365,0.47746676,0.87795043,0.34219137,0.48261705,0.8639458,0.5541998,0.4461137,0.89206314,0.6130105,0.4772824,0.91938555,0.6798337,0.48269612,0.9041408,0.51490355,0.6241065,0.86216766,0.4872623,0.6240863,0.86380017,0.48369873,0.7704421,0.9446249,0.48732445,0.8910873,0.9133935,0.5424325,0.6241289,0.82991606,0.5345809,0.7704813,0.8811915,0.5227735,0.89115256,0.88352877,0.50710917,0.3728564,0.85821146,0.5188606,0.37796962,0.9052357,0.48763764,0.39345533,0.85440207,0.53456646,0.39348662,0.82918227,0.5228181,0.9172702,0.83779943,0.5461747,0.91194874,0.8415353,0.51887125,0.8965546,0.7821505,0.48728922,0.9172786,0.8591914,0.4717547,0.9069651,0.8117106,0.48761266,0.89648896,0.8276105,-1.00,163.72914658115323,-1,-1,-1,-1,164.17139583849885,-1,-1,-1,-1
2022:01:05:10:38:19,up_60_60_,1.2137610912322998,0.5148694,0.3934384,0.95857096,0.5148758,0.4461455,0.9353489,0.4717836,0.44608137,0.85338557,0.41684872,0.47749037,0.8863478,0.34608406,0.48271933,0.8655105,0.55418825,0.44615558,0.8915441,0.6130207,0.47727782,0.9169597,0.67986226,0.4826839,0.90548456,0.5149132,0.6241077,0.8616746,0.48727614,0.62406504,0.86560315,0.48727345,0.77045786,0.94937027,0.48734513,0.8910962,0.91544354,0.54243785,0.62414443,0.827499,0.5345793,0.7705127,0.8862649,0.52278733,0.8911063,0.88342226,0.5070689,0.37790883,0.8534097,0.51883507,0.3780081,0.90651065,0.4876219,0.39346632,0.8456195,0.53452957,0.3935063,0.8322524,0.52281165,0.91722107,0.8427381,0.54616594,0.9069797,0.84582436,0.51889175,0.8965084,0.78341484,0.4872852,0.91727304,0.8587982,0.47175652,0.90695804,0.8091456,0.48763934,0.89649594,0.8263837,-1.00,163.80768378939345,-1,-1,-1,-1,163.66477480805884,-1,-1,-1,-1
2022:01:05:10:38:19,up_60_60_,1.2736008167266846,0.51481247,0.39342332,0.9471118,0.5148844,0.44616264,0.9363476,0.4755709,0.44611505,0.850665,0.41683993,0.4775281,0.8897184,0.34230623,0.48266467,0.86653215,0.55416775,0.44614667,0.89489496,0.6129775,0.4772175,0.91160923,0.67973757,0.48247084,0.92697453,0.51495326,0.6241755,0.8653169,0.4873352,0.62413794,0.8664621,0.48732197,0.7704863,0.95251083,0.4873147,0.89113027,0.9193625,0.5424554,0.6292309,0.8326141,0.5345361,0.77050924,0.8870755,0.5227614,0.89110994,0.88850427,0.5069706,0.37287787,0.84221673,0.5187931,0.37798202,0.9064907,0.4875613,0.3935214,0.82887226,0.5345287,0.3935322,0.84820604,0.52284235,0.9172085,0.84339476,0.54617846,0.90695834,0.8515978,0.51885813,0.8965204,0.7860271,0.4873108,0.9172909,0.8529263,0.4717763,0.9069866,0.8050214,0.48757705,0.8965216,0.8334192,-1.00,163.84288223346746,-1,-1,-1,-1,164.5936251933444,-1,-1,-1,-1
2022:01:05:10:38:19,up_60_60_,1.3374302387237549,0.51482296,0.3934416,0.95057446,0.5148779,0.446157,0.9361146,0.47558594,0.44610792,0.85284597,0.41686368,0.4775682,0.8922983,0.34229356,0.48269185,0.86876833,0.55414015,0.44615176,0.89610153,0.6128854,0.4772006,0.9058666,0.67604375,0.47768375,0.93591905,0.5149493,0.62922245,0.866781,0.48733902,0.6241647,0.86679524,0.48732874,0.7704837,0.95166826,0.4873141,0.8911251,0.9183607,0.54245967,0.62924755,0.8354516,0.5345433,0.7705033,0.88693,0.5227599,0.8911156,0.8897653,0.50698197,0.37791756,0.84356046,0.518803,0.37800246,0.90643084,0.48757112,0.39353138,0.8296703,0.5345541,0.39354736,0.851059,0.5228836,0.9171965,0.83857656,0.54620874,0.9069325,0.8540587,0.5188451,0.8965346,0.7864102,0.4873322,0.91727734,0.85122013,0.47179192,0.9069784,0.80517083,0.48756358,0.89652,0.83361864,-1.00,165.4898894072627,-1,-1,-1,-1,164.58074033638113,-1,-1,-1,-1
