now_time,trils,duration,0_Nose,,,1_Neck,,,2_RShoulder,,,3_RElbow,,,4_RWrist,,,5_LShoulder,,,6_LElbow,,,7_LWrist,,,8_MidHip,9_RHip,,,10_RKnee,,,11_RAnkle,,,12_LHip,,,13_LKnee,,,14_LAnkle,,,15_REye,,,16_LEye,,,17_REar,18_LEar,,,19_LBigToe,,,20_LSmallToe,,,21_LHeel,,,22_RBigToe,,,23_RSmallToe,,,24_RHeel,,,25_Background,,,26_A_Lneck,27_A_Lshoulder,28_A_Lelbow,29_A_Lhip,30_A_Lknee,31_A_Rneck,32_A_Rshoulder,33_A_Relbow,34_A_Rhip,35_A_Rknee,36_A_middle_left_neck
2022:01:05:10:35:38,up_60_30_,0.6562454700469971,0.51890194,0.4303563,0.927635,0.50308585,0.4723148,0.8888133,0.45614308,0.4721161,0.92058945,0.4247584,0.5402606,0.9159702,0.44808492,0.6086481,0.92846173,0.5461386,0.47737402,0.952098,0.5541016,0.5506839,0.8845675,0.5503608,0.613615,0.95157576,0.5031697,0.63444346,0.8238794,0.48327908,0.6344712,0.8563764,0.4833971,0.7652978,0.91547734,0.4834105,0.88070226,0.8687407,0.52284336,0.6344118,0.8478604,0.54224414,0.7602947,0.888605,0.52277005,0.8648403,0.93004775,0.51496226,0.40935656,0.9226837,0.52673495,0.40954095,0.8376466,0.48767692,0.39900768,0.93478286,0.0,0.0,0.0,0.54635847,0.90159094,0.9357605,0.5504077,0.8961936,0.9310352,0.51507527,0.8805614,0.8693548,0.4876441,0.9068167,0.8147566,0.47953486,0.9068174,0.7933323,0.4834812,0.8912007,0.82165474,-1.00,98.4772766571365,-1,-1,-1,-1,93.13518471570809,-1,-1,-1,-1
2022:01:05:10:35:38,up_60_30_,0.7918827533721924,0.5188352,0.430453,0.9401188,0.4992821,0.47233507,0.8892736,0.45609853,0.47223857,0.93411785,0.42476857,0.54037905,0.909102,0.4480978,0.6086613,0.9290642,0.54610634,0.4773488,0.9409913,0.55413634,0.54564327,0.88153195,0.5504406,0.61368537,0.9400583,0.5069514,0.6344765,0.8255402,0.48328698,0.63451916,0.86165345,0.48342523,0.7652608,0.91450536,0.48342478,0.8806423,0.8652237,0.522897,0.63442576,0.8427284,0.54227036,0.7602843,0.89093935,0.5227721,0.85996264,0.93018305,0.5148982,0.40945,0.9155064,0.5266847,0.4146335,0.84152454,0.48765495,0.39898893,0.9343537,0.5423311,0.40946272,0.081891105,0.5462375,0.9015602,0.9625311,0.550369,0.8961722,0.9506241,0.51508874,0.8753846,0.8514865,0.48765182,0.9068158,0.8077127,0.47951683,0.9068146,0.7883796,0.48350212,0.8911509,0.8163145,-1.00,97.93256832904346,-1,-1,-1,-1,93.22832379206162,-1,-1,-1,-1
2022:01:05:10:35:38,up_60_30_,0.8676846027374268,0.5189496,0.4041599,0.925844,0.5147802,0.4720978,0.9290797,0.4677584,0.47212547,0.86058897,0.44430327,0.5455011,0.8458051,0.44820282,0.613745,0.91536295,0.55026776,0.46705088,0.8971068,0.5778314,0.54548836,0.90506464,0.5934257,0.61373883,0.8571849,0.5147965,0.6344857,0.87864566,0.48367468,0.6345004,0.8937799,0.48746362,0.76025695,0.9037109,0.48730186,0.880674,0.8990037,0.54224724,0.63442916,0.83863294,0.522932,0.76542896,0.89626443,0.5189376,0.8909824,0.92328477,0.5148984,0.39385274,0.9802067,0.52678514,0.39870748,0.90157217,0.48763397,0.39373997,0.92392236,0.54222846,0.39882663,0.1310411,0.52279,0.9120614,0.8336208,0.5461033,0.9068801,0.84023106,0.5150563,0.89651096,0.78321564,0.48758483,0.9069477,0.8654179,0.47948006,0.9067303,0.8528808,0.48743916,0.8962422,0.83183426,-1.00,98.30056313593643,-1,-1,-1,-1,97.89568501822043,-1,-1,-1,-1
2022:01:05:10:35:38,up_60_30_,0.9374940395355225,0.5187727,0.39924732,0.9557803,0.5148461,0.472129,0.93676454,0.46786442,0.4721083,0.85495275,0.4480495,0.54554254,0.8499435,0.43638474,0.6135581,0.8909909,0.5503635,0.47212824,0.89695865,0.5816142,0.5454476,0.901888,0.6051688,0.6136188,0.90544295,0.51482785,0.6346121,0.8910702,0.487266,0.6346407,0.8982217,0.48747054,0.76532984,0.91415626,0.48730296,0.8857519,0.8991444,0.54225713,0.63452184,0.845726,0.5266267,0.76545626,0.8976557,0.5189588,0.89100075,0.9231614,0.5147211,0.39373523,0.9604044,0.52291924,0.3938529,0.91873884,0.4876212,0.39368385,0.9160737,0.54229987,0.393954,0.44810057,0.5228583,0.91208166,0.81885564,0.54614496,0.9068845,0.8376986,0.515067,0.896526,0.78595144,0.48762056,0.9069815,0.85617214,0.4795166,0.9067822,0.8527756,0.48742512,0.8962779,0.83564234,-1.00,111.17231369794446,-1,-1,-1,-1,102.52149171458667,-1,-1,-1,-1
2022:01:05:10:35:38,up_60_30_,1.0073072910308838,0.5188876,0.39871755,0.97328746,0.51490223,0.4720334,0.93610054,0.46788737,0.47202536,0.855417,0.43641606,0.53001314,0.847255,0.40497127,0.6033645,0.92007416,0.5504682,0.47209203,0.8926088,0.5856726,0.5300133,0.87657267,0.6326497,0.60326976,0.9041772,0.51488996,0.6397576,0.9099336,0.48734266,0.639764,0.92363775,0.48761302,0.77039695,0.9288982,0.48367834,0.89110625,0.9204342,0.542361,0.63976496,0.87327445,0.53063434,0.77047503,0.90287143,0.5189356,0.89106685,0.9312906,0.5148656,0.38850603,0.9455015,0.5266517,0.38857463,0.87640214,0.49136963,0.3935963,0.92243963,0.5422412,0.3937512,0.4513881,0.526623,0.9121255,0.8197061,0.54612726,0.90690786,0.8374951,0.5150088,0.89652735,0.80079997,0.49134293,0.91212666,0.7985622,0.47965217,0.9119541,0.81122905,0.4872722,0.8965413,0.838452,-1.00,122.16116339785023,-1,-1,-1,-1,115.586261453227,-1,-1,-1,-1
2022:01:05:10:35:38,up_60_30_,1.0751256942749023,0.51881665,0.3939729,0.9814329,0.5149726,0.472115,0.9402697,0.47176275,0.47202858,0.8565028,0.43638268,0.5248653,0.88122886,0.3971055,0.6029321,0.9420575,0.55421895,0.4722605,0.89045936,0.5972678,0.5351051,0.83958834,0.6366425,0.60311055,0.93846405,0.51489484,0.6447457,0.92243004,0.4873509,0.63988626,0.94079316,0.48766154,0.77053225,0.9335156,0.48369417,0.89607203,0.92510843,0.5423765,0.644774,0.8871138,0.53066355,0.7705751,0.9079709,0.518944,0.8960655,0.927413,0.51483285,0.38849884,0.9419974,0.5266573,0.39341357,0.8871833,0.49147165,0.39364097,0.90345347,0.54239196,0.3938733,0.7077347,0.5267124,0.91723895,0.7795051,0.54614496,0.90697885,0.8008479,0.51498985,0.9014574,0.7739095,0.4914382,0.91720307,0.7746268,0.48335493,0.91205066,0.79910505,0.48367444,0.90138805,0.8240119,-1.00,122.41958539322366,-1,-1,-1,-1,119.5824984255365,-1,-1,-1,-1
2022:01:05:10:35:38,up_60_30_,1.136960506439209,0.51881236,0.3936981,0.97627985,0.5150012,0.46697736,0.93100613,0.4717993,0.46696576,0.8504884,0.42484155,0.5246314,0.9422055,0.38917366,0.5925369,0.9014936,0.55425954,0.47204316,0.86791307,0.60508406,0.5246718,0.902872,0.6444187,0.59276116,0.8929503,0.5149164,0.6398218,0.9197198,0.48739746,0.6398171,0.93383,0.49133545,0.77048284,0.92667955,0.48728392,0.8960972,0.9282931,0.54237425,0.63982034,0.87819654,0.53065974,0.77053475,0.9026551,0.51892173,0.896089,0.93357193,0.5148062,0.38326722,0.9184941,0.52666235,0.3833099,0.8626812,0.49149233,0.39360893,0.8884589,0.5461106,0.39364207,0.78278476,0.5305542,0.9172733,0.78534675,0.546178,0.9069992,0.8174285,0.51496845,0.90150297,0.7732235,0.49523497,0.9172732,0.7680356,0.4834308,0.91213506,0.8012888,0.48727283,0.9014298,0.81678736,-1.00,134.10717224894162,-1,-1,-1,-1,123.32948807483933,-1,-1,-1,-1
2022:01:05:10:35:38,up_60_30_,1.202784538269043,0.5188573,0.393656,0.9683647,0.51499814,0.46702895,0.9316304,0.4717493,0.46710414,0.8595157,0.4246021,0.5243867,0.961079,0.3736176,0.5718023,0.8549807,0.5542633,0.46699822,0.86543256,0.60892,0.524396,0.93428314,0.65236074,0.577009,0.8366688,0.5149011,0.6397159,0.91093296,0.4873566,0.6397371,0.9336079,0.49134657,0.7705407,0.92660165,0.48369488,0.8964469,0.95093423,0.54237086,0.6396867,0.8669048,0.53061974,0.7705279,0.899059,0.5189083,0.8962058,0.94814026,0.51485234,0.38323358,0.92057365,0.5266761,0.38325036,0.85457623,0.49522263,0.3936025,0.88769644,0.54246235,0.39361247,0.71833897,0.5345245,0.9173407,0.80718136,0.5462371,0.91195256,0.8408675,0.51492244,0.90159607,0.7590832,0.4992115,0.9226007,0.74013895,0.48359755,0.9225434,0.7754145,0.48360983,0.90181094,0.795687,-1.00,131.6787875015387,-1,-1,-1,-1,133.2453528010611,-1,-1,-1,-1
2022:01:05:10:35:38,up_60_30_,1.2656443119049072,0.518827,0.3936036,0.96547216,0.51501375,0.4668812,0.92137873,0.47558045,0.46690494,0.8516559,0.42462564,0.5191326,0.9238962,0.36591068,0.5614003,0.8975359,0.55429417,0.46693498,0.86024994,0.6090516,0.51954937,0.93975335,0.6639834,0.5717202,0.86106277,0.5148896,0.6397418,0.9133481,0.48734218,0.6397225,0.9315821,0.48764673,0.7704349,0.9277425,0.4873529,0.89116496,0.9310408,0.542356,0.6397562,0.8720489,0.53058094,0.7704884,0.9044976,0.5189468,0.89609003,0.9405694,0.5148451,0.38315862,0.9140425,0.5266215,0.38320404,0.8533552,0.4952393,0.3935681,0.8743708,0.5424212,0.39362115,0.7199315,0.52675205,0.9172746,0.80427146,0.54620373,0.9119513,0.837791,0.5150173,0.9015152,0.7925539,0.4914527,0.91731274,0.80324125,0.48337704,0.9121102,0.8309529,0.4873874,0.90135753,0.82667357,-1.00,136.38832401390033,-1,-1,-1,-1,139.28516173153636,-1,-1,-1,-1
2022:01:05:10:35:39,up_60_30_,1.3384263515472412,0.51873994,0.39341527,0.9599202,0.5150645,0.46172303,0.917668,0.4755972,0.4617398,0.8491945,0.42463413,0.5141807,0.9136659,0.36572316,0.5611563,0.9110658,0.55813766,0.46689022,0.8448062,0.6089488,0.51935524,0.9108467,0.66011256,0.5665774,0.870456,0.5149007,0.6346299,0.8972015,0.48733592,0.6345668,0.90982175,0.48762494,0.76551944,0.92948794,0.4873662,0.88591015,0.9093039,0.54235965,0.63960034,0.85998225,0.526723,0.77042145,0.9029006,0.51897234,0.89116627,0.9332087,0.51473314,0.37285292,0.899474,0.5229047,0.37284565,0.861082,0.49149477,0.39348337,0.85343903,0.5461616,0.39342943,0.8290659,0.5266189,0.9171897,0.8070708,0.54615444,0.90699273,0.83102393,0.5150645,0.90143967,0.79622316,0.49136165,0.9121155,0.8352754,0.483298,0.9069461,0.85446936,0.48744193,0.8963421,0.83804125,-1.00,142.4906431354114,-1,-1,-1,-1,137.88486548019281,-1,-1,-1,-1
