now_time,trils,duration,0_Nose,,,1_Neck,,,2_RShoulder,,,3_RElbow,,,4_RWrist,,,5_LShoulder,,,6_LElbow,,,7_LWrist,,,8_MidHip,9_RHip,,,10_RKnee,,,11_RAnkle,,,12_LHip,,,13_LKnee,,,14_LAnkle,,,15_REye,,,16_LEye,,,17_REar,18_LEar,,,19_LBigToe,,,20_LSmallToe,,,21_LHeel,,,22_RBigToe,,,23_RSmallToe,,,24_RHeel,,,25_Background,,,26_A_Lneck,27_A_Lshoulder,28_A_Lelbow,29_A_Lhip,30_A_Lknee,31_A_Rneck,32_A_Rshoulder,33_A_Relbow,34_A_Rhip,35_A_Rknee,36_A_middle_left_neck
2022:01:05:11:17:32,up_60_30_,0.6582443714141846,0.48736724,0.41474292,0.91595495,0.50310415,0.47747374,0.899163,0.45995975,0.47741398,0.913044,0.45205,0.56116056,0.9361582,0.4519177,0.6345311,0.89268875,0.5423983,0.47761378,0.93610024,0.5503745,0.56131697,0.9136081,0.5501802,0.6448255,0.94523245,0.4914883,0.65014434,0.9008454,0.47562456,0.65003544,0.8879106,0.47558802,0.7704467,0.87803996,0.4677663,0.87530404,0.84509724,0.51882935,0.65023965,0.94950396,0.51509774,0.7706169,0.9595557,0.514977,0.87028706,0.9071194,0.48360446,0.39918384,0.9400604,0.4953235,0.40409562,0.9044905,0.0,0.0,0.0,0.5188875,0.4147233,0.89185846,0.51896644,0.9068111,0.9421701,0.5422899,0.9016029,0.9296379,0.5109833,0.89100647,0.7994286,0.4522282,0.9068534,0.88616055,0.44423392,0.9014017,0.8652557,0.47944495,0.8911516,0.84420705,-1.00,92.86878140169014,-1,-1,-1,-1,92.8507741191093,-1,-1,-1,-1
2022:01:05:11:17:32,up_60_30_,0.7869300842285156,0.48762152,0.41473457,0.90155333,0.49926293,0.4775232,0.90658665,0.45992923,0.47745392,0.92285943,0.45197865,0.5610763,0.9286003,0.44418234,0.62923926,0.85125965,0.54230994,0.47766456,0.9410646,0.5541295,0.56134796,0.92040575,0.55806756,0.63987315,0.9082098,0.49522057,0.6452171,0.8966298,0.47560376,0.64509296,0.8858548,0.4755813,0.76545584,0.8662363,0.467761,0.87025815,0.8463538,0.5188621,0.6501065,0.9488915,0.51509166,0.770454,0.94061327,0.5149578,0.8702146,0.9104972,0.4873368,0.3991491,0.9771205,0.5032085,0.40411454,0.8993633,0.4834314,0.4043343,0.19310024,0.51891565,0.4198652,0.889791,0.51892483,0.9067813,0.95607466,0.5422509,0.90157616,0.93206364,0.5109708,0.8909891,0.7907245,0.45224386,0.9068605,0.890655,0.44424298,0.9014061,0.8702714,0.47945812,0.8911582,0.84275913,-1.00,95.73668150944428,-1,-1,-1,-1,95.82199976618408,-1,-1,-1,-1
2022:01:05:11:17:33,up_60_30_,0.8477382659912109,0.5030566,0.41989172,0.8492693,0.49532163,0.47734454,0.9078162,0.45604414,0.4773324,0.9255092,0.40105757,0.4932242,0.82724166,0.35408008,0.5194571,0.92196107,0.54227465,0.47731698,0.9034002,0.585541,0.49834302,0.85165244,0.640677,0.52473706,0.9413543,0.49152285,0.65014714,0.89367557,0.47561273,0.65012443,0.86921465,0.47565466,0.770653,0.8807901,0.46784526,0.875345,0.8380396,0.5188477,0.6501307,0.930095,0.51866,0.77077895,0.95875454,0.51499933,0.8753983,0.9002116,0.49134457,0.3992647,0.9301435,0.51474154,0.404258,0.9322519,0.48338965,0.4093399,0.8778181,0.5189588,0.4198809,0.8074631,0.5189726,0.9068848,0.93200827,0.5422907,0.901648,0.9322893,0.51102847,0.89107704,0.79748046,0.45221812,0.9069052,0.8819737,0.44418794,0.90142775,0.86372036,0.4795045,0.89117074,0.8425915,-1.00,154.23694052035648,-1,-1,-1,-1,157.53518460397837,-1,-1,-1,-1
2022:01:05:11:17:33,up_60_30_,0.9235355854034424,0.4992923,0.419904,0.85017705,0.4953352,0.47734717,0.907693,0.4560458,0.4773272,0.92653894,0.40105385,0.49317166,0.83135784,0.35403964,0.5194085,0.91767335,0.5423074,0.47732097,0.907346,0.58553964,0.49322084,0.85662496,0.64058304,0.5246023,0.9582623,0.4915174,0.65016353,0.89414334,0.47561324,0.6501383,0.8702931,0.47565213,0.77065367,0.88125265,0.46784112,0.87534255,0.8383765,0.5188378,0.650147,0.9309229,0.5186557,0.7707833,0.96027416,0.5149973,0.8754039,0.90100485,0.49134675,0.3992628,0.93026954,0.51474917,0.40427312,0.9333082,0.48339644,0.4093392,0.8727777,0.51897305,0.4199404,0.8150182,0.51898146,0.9068913,0.9301646,0.54229677,0.9016504,0.9334582,0.51102185,0.8910819,0.8011457,0.452219,0.9069006,0.88437,0.44418803,0.90142435,0.8649478,0.47950038,0.89116913,0.84268594,-1.00,154.27541097433235,-1,-1,-1,-1,157.55291828047092,-1,-1,-1,-1
2022:01:05:11:17:33,up_60_30_,0.9873647689819336,0.50311947,0.41476622,0.8469617,0.49533147,0.4773398,0.9075063,0.45602578,0.4773302,0.92808485,0.40102682,0.49311885,0.8341291,0.35398197,0.51936054,0.9148096,0.5423094,0.47730088,0.9040426,0.5855753,0.48817673,0.8625469,0.6406354,0.5244749,0.9638585,0.49150366,0.6501446,0.8939271,0.4756007,0.65012,0.8672709,0.47564697,0.77064246,0.88043225,0.4678445,0.8753151,0.83735824,0.5188261,0.65013134,0.928726,0.5186605,0.770759,0.9586767,0.51498806,0.87535405,0.9016887,0.49137354,0.39921033,0.9337343,0.5147712,0.40417838,0.9392115,0.48340338,0.409387,0.8792722,0.51898706,0.41988352,0.80237114,0.5189814,0.90685904,0.9310275,0.54228514,0.9016203,0.9328211,0.5110087,0.89104104,0.7963283,0.45223522,0.906898,0.8824181,0.44420317,0.9014221,0.86392874,0.4794993,0.8911431,0.83831215,-1.00,154.32214666124926,-1,-1,-1,-1,157.59997347855182,-1,-1,-1,-1
2022:01:05:11:17:33,up_60_30_,1.0472064018249512,0.5070562,0.41987625,0.8590763,0.4953159,0.4773899,0.91580415,0.45603898,0.47744325,0.93829834,0.39731696,0.49331564,0.8271159,0.35402578,0.51943725,0.9165604,0.54228026,0.47733012,0.90368557,0.5854985,0.49316898,0.86618364,0.64061934,0.5244728,0.9614668,0.4952361,0.6501552,0.89309675,0.4756741,0.65012723,0.87556326,0.47568077,0.7706484,0.88452804,0.46783027,0.87534523,0.83747315,0.51885206,0.6501527,0.93158877,0.51507396,0.77077115,0.9629077,0.5149844,0.87541294,0.90182585,0.49146333,0.40408146,0.91818684,0.5148514,0.40418896,0.9481113,0.48341382,0.40942672,0.9057234,0.519007,0.41468674,0.7236728,0.51897925,0.90688974,0.925088,0.54228854,0.9016343,0.93013674,0.51099795,0.89108413,0.80193835,0.45225537,0.90689206,0.88489735,0.4442199,0.9014212,0.8649638,0.47948274,0.8911594,0.83682156,-1.00,154.3145273871727,-1,-1,-1,-1,157.703173622922,-1,-1,-1,-1
2022:01:05:11:17:33,up_60_30_,1.1090402603149414,0.50704736,0.41981512,0.8560768,0.49530736,0.47736633,0.9136882,0.45603004,0.47741053,0.9354546,0.40103325,0.49328515,0.8283856,0.3540415,0.5194883,0.92317903,0.5422784,0.47731873,0.9032557,0.5854964,0.49317795,0.86260223,0.64061373,0.5245172,0.95630145,0.49525118,0.65015686,0.8928809,0.47568917,0.6501237,0.87678933,0.47568256,0.77062577,0.8828355,0.46782726,0.8753244,0.83749574,0.5188652,0.6501574,0.9319182,0.51508397,0.7707678,0.9630468,0.51497465,0.8753717,0.9033311,0.49145737,0.399234,0.9225901,0.5148417,0.4041457,0.9485232,0.4834043,0.40936068,0.9068763,0.5189887,0.41465867,0.71514434,0.5189823,0.90686715,0.92824644,0.54228735,0.90161204,0.9336847,0.51097864,0.8910542,0.79737186,0.4522506,0.90689,0.8839558,0.44421825,0.90141934,0.86433685,0.47947586,0.89114743,0.8370881,-1.00,154.30212761061904,-1,-1,-1,-1,157.64473772460852,-1,-1,-1,-1
2022:01:05:11:17:33,up_60_30_,1.1708757877349854,0.50318855,0.41979837,0.8485629,0.49536958,0.4773337,0.90793186,0.45609164,0.47734278,0.9283023,0.40494838,0.4932279,0.82828987,0.3577056,0.52457815,0.9356099,0.54232085,0.47729927,0.9083562,0.5855865,0.4931445,0.8595685,0.64063513,0.5245082,0.9572825,0.49531198,0.6501318,0.8922785,0.47573233,0.650098,0.8815319,0.4757145,0.770596,0.88171506,0.4677879,0.8753416,0.8378114,0.5189233,0.6501393,0.9293633,0.5186761,0.77078843,0.96309805,0.51496994,0.8753799,0.90172106,0.4913965,0.39923787,0.9298342,0.51477575,0.4041418,0.94200516,0.48340392,0.40934289,0.89512306,0.5189413,0.4145845,0.77860856,0.51899517,0.9068599,0.92497647,0.54229695,0.9016102,0.9343329,0.51095784,0.89104646,0.79031545,0.45226482,0.90689296,0.8835062,0.44421682,0.90142494,0.86381006,0.47943702,0.8911527,0.8330921,-1.00,154.3084405589641,-1,-1,-1,-1,154.36748944338174,-1,-1,-1,-1
2022:01:05:11:17:33,up_60_30_,1.2426824569702148,0.5030751,0.40953022,0.8510062,0.4953715,0.47731167,0.9038929,0.456109,0.47732663,0.9251785,0.40495574,0.49327555,0.822967,0.3577653,0.52455103,0.941267,0.5423008,0.4772735,0.90309274,0.5855913,0.48814383,0.86565566,0.6406309,0.5244542,0.96003306,0.49529806,0.6500892,0.89178133,0.47942823,0.6500475,0.882213,0.47570246,0.77056336,0.8770417,0.46775576,0.8753586,0.83854127,0.5188923,0.65010756,0.9294514,0.51865065,0.7707358,0.9578265,0.5149465,0.87535,0.90249276,0.49133816,0.39908943,0.95033073,0.51471364,0.39918154,0.9446377,0.48338386,0.40439242,0.87984025,0.5189216,0.4145673,0.79790866,0.51899326,0.9068595,0.9259678,0.5422825,0.90160215,0.9325999,0.5109226,0.89103955,0.79152894,0.4522588,0.90689987,0.8860191,0.44422108,0.9014422,0.8663876,0.47570848,0.891176,0.83103657,-1.00,154.32079387406282,-1,-1,-1,-1,154.37162855034663,-1,-1,-1,-1
2022:01:05:11:17:33,up_60_30_,1.3025226593017578,0.5031096,0.4094817,0.85351133,0.49538118,0.47732237,0.9043931,0.4561258,0.4773411,0.92506737,0.404977,0.4932769,0.8227129,0.3577852,0.5245221,0.9437706,0.5423039,0.47727847,0.90545225,0.58563954,0.48818225,0.86061674,0.6406597,0.52445453,0.9581914,0.4953094,0.6500808,0.8928093,0.47943935,0.65004075,0.88525385,0.47570565,0.77054733,0.8762727,0.46775705,0.87535733,0.8385292,0.51890135,0.6500993,0.9306383,0.51865405,0.7707163,0.95759094,0.5149407,0.8753334,0.9030925,0.49134508,0.39905617,0.95081836,0.5147302,0.39914238,0.9491367,0.48337314,0.40439934,0.8818564,0.5189402,0.4095425,0.7894672,0.51897955,0.9068505,0.9306639,0.54226756,0.901597,0.93264556,0.5109161,0.89102876,0.7894492,0.4522629,0.9068921,0.8849538,0.44422475,0.90143794,0.86620903,0.4757066,0.8911776,0.83061206,-1.00,154.32182500842285,-1,-1,-1,-1,154.39694197720132,-1,-1,-1,-1
