Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
11:10:45:303,2.781,0.022,0.006,0.011,-32.388,155.719,-19.228
11:10:45:303,2.781,0.005,-0.005,0.008,-32.376,155.554,-19.043
11:10:45:413,2.891,-0.011,-0.015,0.005,-32.342,155.444,-19.008
11:10:45:414,2.892,-0.019,-0.012,-0.019,-32.304,155.285,-18.981
11:10:45:414,2.892,-0.026,-0.005,-0.009,-32.323,155.184,-18.924
11:10:45:415,2.893,-0.017,0.000,-0.010,-32.374,155.083,-18.903
11:10:45:431,2.909,-0.013,0.003,-0.023,-32.388,155.060,-18.986
11:10:45:544,3.022,-0.014,0.003,-0.008,-32.360,155.112,-19.060
11:10:45:544,3.022,-0.009,0.003,-0.010,-32.337,155.160,-19.117
11:10:45:545,3.023,-0.004,0.003,-0.001,-32.323,155.213,-19.132
11:10:45:546,3.024,-0.014,-0.012,-0.009,-32.313,155.251,-19.173
11:10:45:591,3.069,-0.010,-0.012,0.003,-32.251,155.407,-19.276
11:10:45:703,3.181,0.002,-0.010,0.000,-32.274,155.575,-19.341
11:10:45:719,3.197,-0.002,0.002,0.000,-32.364,155.780,-19.498
11:10:45:803,3.281,-0.005,-0.012,0.010,-32.378,155.846,-19.545
11:10:45:803,3.281,-0.001,-0.005,0.004,-32.403,155.917,-19.577
11:10:45:852,3.330,-0.011,-0.009,0.000,-32.442,155.950,-19.601
11:10:45:912,3.390,-0.012,0.014,-0.005,-32.613,155.998,-19.572
11:10:45:913,3.391,-0.012,0.016,-0.003,-32.657,156.033,-19.565
11:10:45:913,3.391,-0.011,0.012,-0.010,-32.709,156.112,-19.615
11:10:46:044,3.522,-0.015,0.014,-0.012,-32.739,156.164,-19.628
11:10:46:044,3.522,-0.009,0.014,-0.006,-32.780,156.258,-19.622
11:10:46:045,3.523,-0.006,0.013,-0.006,-32.788,156.340,-19.652
11:10:46:069,3.547,-0.001,-0.001,0.013,-32.784,156.612,-19.672
11:10:46:087,3.565,-0.001,0.006,-0.002,-32.799,156.680,-19.638
11:10:46:199,3.676,-0.009,0.009,0.002,-32.805,156.697,-19.614
11:10:46:199,3.676,-0.007,-0.001,0.003,-32.837,156.716,-19.552
11:10:46:2,3.677,-0.005,0.010,-0.006,-32.863,156.764,-19.519
11:10:46:22,3.697,0.005,0.011,-0.002,-32.885,156.778,-19.471
