Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
11:16:55:006,2.672,0.007,-0.004,0.006,-17.980,140.855,-7.938
11:16:55:007,2.673,0.003,-0.014,0.011,-17.928,140.825,-7.892
11:16:55:088,2.754,-0.002,-0.021,0.001,-17.888,140.552,-7.884
11:16:55:088,2.754,-0.003,-0.020,0.002,-17.844,140.543,-7.877
11:16:55:089,2.755,0.002,-0.023,0.003,-17.864,140.544,-7.872
11:16:55:111,2.777,-0.005,-0.010,-0.015,-17.924,140.538,-7.874
11:16:55:135,2.801,-0.006,-0.005,-0.009,-17.993,140.631,-7.896
11:16:55:161,2.827,-0.006,-0.001,-0.004,-18.021,140.635,-7.920
11:16:55:187,2.853,-0.007,-0.005,-0.005,-18.023,140.441,-7.936
11:16:55:24,2.906,-0.002,-0.003,-0.010,-18.024,140.443,-7.943
11:16:55:269,2.935,-0.007,0.001,-0.006,-18.022,140.342,-7.951
11:16:55:269,2.935,-0.006,-0.003,-0.005,-18.034,140.476,-7.967
11:16:55:292,2.958,0.002,-0.008,0.009,-18.033,140.509,-8.002
11:16:55:319,2.985,0.001,0.001,0.003,-18.043,140.189,-8.049
11:16:55:424,3.090,0.004,-0.003,0.013,-18.065,140.191,-8.052
11:16:55:488,3.154,0.007,-0.008,0.005,-18.040,140.189,-8.042
11:16:55:488,3.154,0.013,-0.008,0.006,-18.000,140.180,-8.050
11:16:55:488,3.154,0.013,-0.002,0.013,-17.995,140.459,-8.061
11:16:55:488,3.154,0.008,-0.001,0.011,-17.999,140.418,-8.032
11:16:55:503,3.169,0.010,0.019,-0.005,-18.008,140.372,-8.017
11:16:55:581,3.247,-0.002,-0.008,0.001,-18.046,140.290,-7.990
11:16:55:8,3.466,0.000,0.005,-0.005,-18.265,140.150,-8.234
11:16:55:801,3.467,0.010,0.019,0.007,-18.382,140.151,-8.261
11:16:55:801,3.467,-0.004,0.003,0.006,-18.445,140.158,-8.285
11:16:55:802,3.468,0.005,0.017,0.002,-18.448,140.172,-8.382
11:16:55:821,3.487,-0.001,0.013,0.005,-18.445,140.155,-8.417
11:16:55:821,3.487,0.014,0.016,0.020,-18.503,140.100,-8.419
11:16:55:958,3.624,0.006,0.015,0.003,-18.459,140.029,-8.654
11:16:55:959,3.625,-0.007,-0.005,0.005,-18.416,139.955,-8.710
11:16:55:959,3.625,-0.012,-0.009,-0.003,-18.367,139.907,-8.751
11:16:56:061,3.727,-0.013,-0.023,-0.005,-18.303,139.861,-8.793
11:16:56:061,3.727,-0.011,-0.025,-0.004,-18.282,139.837,-8.839
11:16:56:062,3.728,-0.011,-0.026,-0.013,-18.271,139.792,-8.886
11:16:56:085,3.751,-0.014,-0.020,-0.017,-18.275,139.794,-8.952
11:16:56:085,3.751,-0.016,-0.024,-0.012,-18.293,139.800,-8.993
11:16:56:112,3.778,-0.009,-0.023,-0.017,-18.299,139.869,-9.068
11:16:56:113,3.779,0.003,-0.004,0.002,-18.351,139.933,-9.096
11:16:56:113,3.779,0.009,0.009,0.009,-18.480,140.017,-9.177
11:16:56:276,3.942,0.003,0.010,-0.002,-18.584,140.050,-9.272
11:16:56:276,3.942,-0.003,0.033,0.006,-18.608,140.083,-9.345
11:16:56:276,3.942,0.004,0.013,0.011,-18.650,140.119,-9.379
11:16:56:276,3.942,-0.005,0.015,0.000,-18.646,140.104,-9.385
11:16:56:426,4.092,-0.010,0.008,-0.002,-18.649,140.077,-9.387
11:16:56:427,4.093,0.002,0.015,-0.015,-18.609,140.068,-9.394
11:16:56:457,4.123,-0.008,-0.003,-0.007,-18.601,140.045,-9.385
11:16:56:457,4.123,-0.001,-0.005,0.003,-18.539,140.051,-9.399
11:16:56:458,4.124,-0.002,-0.014,0.005,-18.480,140.068,-9.435
11:16:56:459,4.125,0.002,-0.016,0.011,-18.452,140.052,-9.431
11:16:56:618,4.284,-0.001,-0.021,0.015,-18.454,140.036,-9.429
11:16:56:618,4.284,0.002,-0.022,0.008,-18.411,140.027,-9.429
11:16:56:618,4.284,0.009,-0.023,0.027,-18.405,139.970,-9.333
11:16:56:618,4.284,0.016,-0.013,0.019,-18.459,139.915,-9.241
11:16:56:774,4.440,-0.006,0.016,0.011,-18.607,139.784,-9.088
11:16:56:774,4.440,-0.003,0.021,-0.009,-18.678,139.689,-8.963
11:16:56:774,4.440,-0.009,0.028,-0.006,-18.670,139.594,-8.870
11:16:56:775,4.441,-0.007,0.003,0.002,-18.634,139.500,-8.731
11:16:56:877,4.543,-0.003,0.021,-0.004,-18.602,139.458,-8.702
11:16:56:877,4.543,-0.005,-0.012,0.013,-18.590,139.414,-8.646
11:16:56:878,4.544,0.006,-0.002,0.002,-18.552,139.395,-8.630
11:16:56:879,4.545,-0.001,-0.006,0.002,-18.486,139.385,-8.679
