Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
19:33:41:785,0.000,0.000,-0.007,0.017,17.391,-52.744,-7.556
19:33:41:785,0.000,0.009,-0.002,0.002,17.379,-52.746,-7.442
19:33:41:786,0.001,-0.011,-0.007,-0.008,17.385,-52.720,-7.373
19:33:41:861,0.077,-0.005,-0.014,0.011,17.395,-52.711,-7.441
19:33:41:919,0.135,-0.011,-0.015,0.004,17.379,-52.694,-7.396
19:33:41:92,0.136,-0.007,-0.005,0.012,17.387,-52.720,-7.418
19:33:41:921,0.137,0.010,-0.011,0.003,17.361,-52.733,-7.375
19:33:42:069,0.284,-0.010,0.008,0.010,17.513,-52.839,-7.628
19:33:42:097,0.312,-0.012,0.004,-0.009,17.466,-52.862,-7.580
19:33:42:097,0.312,0.006,-0.002,0.009,17.399,-52.859,-7.784
19:33:42:118,0.334,0.007,0.008,0.012,17.396,-52.869,-7.895
19:33:42:277,0.493,0.008,0.020,0.005,17.425,-52.883,-7.871
19:33:42:359,0.575,-0.006,-0.018,0.010,17.472,-52.905,-7.788
19:33:42:391,0.607,-0.004,0.006,0.013,17.517,-52.929,-7.763
19:33:42:392,0.608,-0.020,-0.006,-0.001,17.577,-52.968,-7.606
19:33:42:392,0.608,-0.015,-0.023,-0.003,17.575,-52.955,-7.566
19:33:42:393,0.609,-0.003,-0.012,0.019,17.575,-52.968,-7.642
19:33:42:47,0.685,-0.005,-0.010,-0.002,17.566,-52.966,-7.646
19:33:42:471,0.686,-0.016,-0.014,0.001,17.564,-52.966,-7.601
19:33:42:471,0.686,-0.006,-0.005,-0.006,17.530,-52.988,-7.616
19:33:42:472,0.687,-0.003,-0.006,0.014,17.519,-53.024,-7.751
19:33:42:521,0.736,0.005,0.003,0.000,17.493,-53.024,-7.764
19:33:42:522,0.737,-0.004,-0.011,0.012,17.488,-53.058,-7.753
19:33:42:523,0.738,-0.002,0.002,0.001,17.484,-53.059,-7.767
19:33:42:523,0.738,-0.002,-0.009,0.009,17.495,-53.062,-7.778
19:33:42:76,0.976,-0.003,-0.019,0.008,17.572,-53.046,-7.802
19:33:42:761,0.977,-0.017,-0.024,0.007,17.597,-53.040,-7.795
19:33:42:762,0.978,-0.004,-0.024,0.007,17.574,-53.036,-7.823
19:33:42:89,1.106,-0.015,-0.015,0.009,17.558,-53.033,-7.824
19:33:42:89,1.106,-0.017,-0.007,0.000,17.513,-53.035,-7.773
19:33:42:891,1.107,-0.008,-0.015,0.001,17.484,-53.043,-7.764
19:33:42:891,1.107,-0.004,-0.004,0.009,17.463,-53.065,-7.812
19:33:42:968,1.183,-0.008,-0.010,0.010,17.488,-53.101,-7.878
19:33:42:969,1.184,-0.011,-0.016,0.009,17.515,-53.114,-7.890
19:33:42:969,1.184,-0.014,-0.005,0.015,17.523,-53.104,-7.913
19:33:42:985,1.200,-0.007,-0.012,-0.004,17.525,-53.110,-7.907
19:33:43:04,1.256,-0.010,-0.028,0.019,17.507,-53.088,-7.919
19:33:43:041,1.257,-0.003,-0.017,0.007,17.491,-53.097,-7.894
19:33:43:26,1.475,-0.014,0.000,0.004,17.443,-53.091,-7.802
19:33:43:26,1.475,-0.010,-0.004,-0.012,17.375,-53.029,-7.702
19:33:43:26,1.475,-0.015,-0.007,-0.017,17.346,-53.046,-7.695
19:33:43:26,1.475,0.002,-0.001,-0.004,17.338,-53.021,-7.725
19:33:43:335,1.551,-0.010,-0.015,0.007,17.362,-53.070,-7.742
19:33:43:336,1.552,-0.020,-0.007,-0.002,17.355,-53.068,-7.688
19:33:43:336,1.552,-0.004,-0.015,0.007,17.365,-53.100,-7.733
19:33:43:337,1.553,-0.003,-0.012,0.007,17.344,-53.096,-7.777
19:33:43:359,1.575,-0.005,0.001,0.009,17.299,-53.100,-7.777
19:33:43:359,1.575,-0.002,-0.018,0.009,17.280,-53.098,-7.785
19:33:43:487,1.702,-0.004,-0.004,-0.005,17.274,-53.044,-7.685
19:33:43:487,1.702,-0.006,-0.007,0.010,17.264,-53.003,-7.668
19:33:43:783,1.998,-0.031,0.010,-0.018,17.320,-53.063,-7.144
19:33:43:783,1.998,-0.029,-0.029,-0.001,17.346,-52.956,-7.032
19:33:43:784,1.999,-0.009,-0.029,0.014,17.394,-53.003,-7.329
19:33:43:784,1.999,-0.008,-0.027,0.005,17.387,-52.993,-7.354
19:33:43:805,2.021,-0.009,-0.017,0.011,17.321,-53.009,-7.319
19:33:43:806,2.022,0.003,-0.011,-0.004,17.228,-52.995,-7.300
19:33:43:807,2.023,0.008,0.004,0.011,17.170,-53.009,-7.371
19:33:43:887,2.103,0.016,0.004,0.007,17.095,-53.034,-7.394
19:33:44:045,2.260,-0.009,-0.019,-0.002,17.448,-53.014,-6.944
19:33:44:045,2.260,-0.025,-0.035,-0.002,17.430,-52.925,-6.878
19:33:44:046,2.261,-0.006,-0.010,0.012,17.418,-52.915,-6.998
19:33:44:219,2.435,-0.016,-0.010,0.007,17.371,-52.921,-7.027
19:33:44:25,2.465,-0.006,-0.010,-0.003,17.273,-52.856,-7.005
19:33:44:251,2.466,-0.010,-0.005,-0.011,17.215,-52.820,-6.972
19:33:44:333,2.549,-0.007,0.003,-0.005,17.181,-52.789,-6.984
19:33:44:334,2.550,-0.005,0.008,0.011,17.178,-52.803,-7.023
19:33:44:334,2.550,-0.007,0.017,-0.009,17.121,-52.792,-6.957
19:33:44:467,2.683,-0.010,-0.018,0.010,17.222,-52.805,-7.001
19:33:44:468,2.684,-0.011,-0.007,0.001,17.260,-52.845,-6.998
19:33:44:469,2.685,-0.005,-0.015,0.000,17.273,-52.862,-7.006
19:33:44:863,3.078,0.002,-0.001,-0.001,17.299,-53.281,-7.130
19:33:44:863,3.078,-0.003,-0.014,0.008,17.320,-53.321,-7.085
19:33:44:863,3.078,0.005,0.000,0.006,17.366,-53.361,-7.107
19:33:44:911,3.126,0.006,-0.021,-0.002,17.421,-53.413,-7.121
19:33:44:911,3.126,-0.006,-0.023,0.018,17.434,-53.412,-7.154
19:33:44:912,3.127,-0.004,-0.016,0.011,17.471,-53.472,-7.177
19:33:44:913,3.128,-0.008,-0.009,0.010,17.501,-53.492,-7.132
