Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
19:30:48:581,0.000,-0.005,-0.012,-0.006,21.851,-35.412,-7.732
19:30:48:662,0.081,0.007,-0.001,0.017,21.855,-35.314,-7.784
19:30:48:663,0.082,0.006,-0.004,0.008,21.841,-35.313,-7.782
19:30:48:663,0.082,-0.002,0.005,0.003,21.820,-35.209,-7.743
19:30:48:741,0.160,0.005,-0.005,0.010,21.788,-35.177,-7.781
19:30:48:742,0.161,-0.002,0.000,0.004,21.787,-35.172,-7.722
19:30:48:898,0.317,0.001,0.020,0.008,21.710,-35.328,-7.524
19:30:48:899,0.318,0.000,0.010,-0.008,21.661,-35.342,-7.253
19:30:48:9,0.319,-0.005,0.006,-0.022,21.662,-35.350,-7.183
19:30:48:978,0.397,0.012,0.000,0.010,21.823,-35.453,-7.334
19:30:48:979,0.398,0.001,-0.034,0.028,21.877,-35.488,-7.300
19:30:49:028,0.447,-0.017,-0.006,0.015,21.875,-35.487,-7.149
19:30:49:028,0.447,-0.002,-0.013,0.010,21.777,-35.539,-7.163
19:30:49:05,0.469,0.004,-0.018,0.020,21.785,-35.525,-7.205
19:30:49:106,0.525,-0.008,0.012,-0.005,21.714,-35.615,-7.181
19:30:49:187,0.606,-0.005,-0.012,-0.004,21.673,-35.547,-7.224
19:30:49:188,0.607,-0.012,0.017,0.012,21.701,-35.553,-7.238
19:30:49:188,0.607,-0.011,-0.002,-0.017,21.638,-35.606,-7.208
19:30:49:425,0.843,-0.005,-0.018,0.020,21.604,-36.092,-7.528
19:30:49:425,0.843,0.007,0.016,0.011,21.587,-36.096,-7.554
19:30:49:635,1.054,0.010,0.000,-0.004,21.450,-35.836,-7.777
19:30:49:635,1.054,0.012,-0.001,0.017,21.477,-35.818,-7.815
19:30:49:712,1.131,0.012,0.006,0.017,21.606,-35.816,-8.004
19:30:49:713,1.132,-0.019,-0.027,0.000,21.631,-35.959,-7.944
19:30:49:792,1.211,-0.025,-0.011,0.003,21.670,-35.959,-7.922
19:30:49:792,1.211,-0.007,-0.018,0.015,21.698,-36.076,-8.023
19:30:49:792,1.211,-0.002,-0.008,0.005,21.674,-36.088,-8.028
19:30:49:87,1.288,0.001,-0.019,0.017,21.654,-36.150,-8.058
19:30:49:871,1.289,-0.002,0.008,-0.006,21.616,-36.163,-8.068
19:30:49:872,1.290,-0.001,0.002,0.012,21.589,-36.370,-8.104
19:30:50:006,1.425,2.963,2.587,-3.581,11.409,-7.028,-1.019
19:30:50:526,1.945,0.001,0.002,0.011,21.342,-36.549,-8.750
19:30:50:527,1.946,-0.002,-0.018,0.008,21.330,-36.592,-8.714
19:30:50:606,2.025,0.001,-0.001,0.019,21.331,-36.629,-8.757
19:30:50:606,2.025,0.002,-0.008,0.008,21.281,-36.648,-8.737
19:30:50:606,2.025,0.007,0.008,0.002,21.247,-36.644,-8.772
19:30:50:684,2.103,0.000,-0.008,0.018,21.255,-36.621,-8.834
19:30:50:684,2.103,0.003,0.014,-0.003,21.250,-36.625,-8.819
19:30:50:685,2.104,0.003,-0.009,0.001,21.222,-36.600,-8.816
19:30:50:763,2.182,-0.013,0.005,0.003,21.223,-36.595,-8.751
19:30:50:763,2.182,-0.007,-0.005,0.012,21.231,-36.579,-8.814
19:30:50:842,2.261,-0.003,0.008,-0.006,21.206,-36.576,-8.779
19:30:50:892,2.311,0.004,-0.002,0.008,21.183,-36.580,-8.847
19:30:50:893,2.312,0.001,0.006,0.002,21.191,-36.585,-8.836
19:30:50:976,2.394,-0.017,0.009,0.012,21.245,-36.596,-8.748
19:30:50:977,2.395,0.001,-0.005,-0.007,21.225,-36.590,-8.728
19:30:50:977,2.395,-0.001,-0.003,0.018,21.258,-36.564,-8.837
19:30:51:209,2.627,-0.005,0.000,0.008,21.320,-36.614,-9.096
19:30:51:21,2.628,-0.005,-0.001,-0.005,21.285,-36.615,-9.082
19:30:51:281,2.700,-0.006,0.005,0.008,21.272,-36.625,-9.067
19:30:51:424,2.843,0.004,0.003,0.002,21.233,-36.658,-9.001
19:30:51:424,2.843,-0.002,0.006,-0.010,21.233,-36.662,-8.945
19:30:51:424,2.843,0.001,0.002,-0.002,21.288,-36.677,-9.030
19:30:51:501,2.919,-0.002,-0.005,-0.007,21.318,-36.671,-9.092
19:30:51:502,2.920,-0.001,-0.017,0.008,21.427,-36.678,-9.287
19:30:51:503,2.921,-0.009,-0.014,0.010,21.493,-36.733,-9.383
19:30:51:503,2.921,-0.013,-0.024,0.012,21.496,-36.758,-9.360
19:30:51:58,2.999,-0.006,-0.025,0.014,21.496,-36.796,-9.403
