Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
16:57:30:711,5.042,-0.037,0.011,0.010,-0.433,-29.489,-40.582
16:57:30:711,5.042,-0.030,0.026,0.020,-0.676,-29.562,-40.595
16:57:30:712,5.043,-0.041,0.062,-0.011,-0.855,-29.600,-40.561
16:57:30:712,5.043,-0.022,0.037,0.029,-1.078,-29.669,-40.470
16:57:31:017,5.348,0.001,0.021,0.021,-1.417,-29.909,-40.175
16:57:31:158,5.489,-0.008,0.062,0.014,-1.696,-30.039,-40.082
16:57:31:159,5.490,-0.014,0.053,0.031,-1.846,-30.106,-39.996
16:57:31:159,5.490,-0.030,0.020,0.043,-1.754,-30.137,-39.745
16:57:31:16,5.491,-0.025,0.001,0.049,-1.513,-30.063,-39.648
16:57:32:177,6.508,-0.002,0.033,0.000,-1.267,-29.596,-40.340
16:57:33:097,7.428,0.025,-0.009,0.026,-1.275,-29.647,-40.568
16:57:33:097,7.428,0.006,0.012,-0.007,-1.249,-29.582,-40.635
16:57:33:127,7.458,0.009,-0.031,-0.008,-1.220,-29.467,-40.547
16:57:33:127,7.458,0.001,0.054,0.003,-1.264,-29.429,-40.605
16:57:33:127,7.458,-0.015,0.056,0.000,-1.387,-29.435,-40.626
16:57:33:128,7.459,-0.001,0.007,-0.001,-1.407,-29.452,-40.631
16:57:33:309,7.640,0.002,0.044,0.026,-1.405,-29.469,-40.712
16:57:33:309,7.640,0.024,-0.035,0.019,-1.262,-29.416,-40.782
16:57:33:31,7.641,0.014,-0.014,0.011,-1.183,-29.306,-40.851
16:57:34:594,8.926,0.011,0.019,0.004,-1.138,-29.087,-40.940
16:57:34:594,8.926,0.000,0.001,0.000,-1.067,-28.864,-40.909
16:57:34:595,8.927,0.022,0.030,0.024,0.046,-29.159,-43.030
16:57:35:246,9.578,0.010,0.000,0.004,0.034,-29.132,-43.103
16:57:35:246,9.578,0.000,-0.042,0.000,0.104,-29.077,-43.050
16:57:35:271,9.602,0.015,-0.001,0.023,0.111,-29.026,-43.075
16:57:35:405,9.736,-0.009,-0.007,-0.003,0.074,-28.927,-43.183
16:57:35:406,9.737,0.006,0.040,0.011,-0.023,-28.780,-43.321
16:57:35:429,9.760,0.006,0.000,-0.006,-0.238,-28.754,-43.216
16:57:35:589,9.920,-0.003,0.042,0.008,-0.385,-28.734,-43.124
16:57:35:589,9.920,0.050,0.043,0.035,0.088,-29.160,-43.148
16:57:35:952,10.284,-0.006,0.029,0.012,0.215,-29.144,-42.875
16:57:36:038,10.369,0.025,0.018,0.025,1.075,-29.170,-42.077
16:57:36:039,10.370,-0.007,-0.027,-0.015,1.252,-29.140,-41.432
16:57:40:058,14.389,0.016,0.042,0.019,-1.214,-28.716,-43.458
16:57:40:058,14.389,0.034,0.037,0.033,-1.079,-28.679,-44.259
16:57:40:058,14.389,0.017,-0.018,0.016,-1.019,-29.029,-43.760
16:57:40:059,14.390,0.012,0.035,0.026,-1.081,-29.025,-43.839
16:57:40:372,14.703,0.016,-0.025,0.016,-0.494,-29.656,-44.351
16:57:40:372,14.703,0.029,0.067,0.027,-0.777,-29.809,-44.127
16:57:40:373,14.704,0.002,0.012,-0.001,-2.107,-30.390,-43.716
16:57:40:374,14.705,-0.004,0.055,0.012,-2.146,-30.533,-43.642
16:57:41:868,16.199,0.022,-0.013,0.023,-1.604,-30.482,-44.256
16:57:41:868,16.199,0.012,-0.015,0.008,-1.590,-30.390,-44.297
16:57:41:991,16.322,0.014,0.041,0.022,-1.642,-30.047,-44.314
