Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
11:48:02:312,0.000,0.000,0.010,-0.011,-32.252,151.820,-11.238
11:48:02:336,0.024,-0.001,0.016,-0.010,-32.293,151.831,-11.297
11:48:02:377,0.065,0.014,0.018,-0.003,-32.355,151.841,-11.347
11:48:02:387,0.075,0.002,0.021,-0.010,-32.375,151.830,-11.328
11:48:02:412,0.100,0.005,0.008,-0.003,-32.352,151.815,-11.281
11:48:02:449,0.137,0.010,0.001,0.005,-32.274,151.790,-11.288
11:48:02:474,0.162,-0.006,-0.006,-0.004,-32.243,151.769,-11.330
11:48:02:513,0.201,-0.007,-0.014,-0.001,-32.250,151.699,-11.227
11:48:02:565,0.253,-0.018,-0.017,0.007,-32.248,151.657,-11.157
11:48:02:565,0.253,0.001,-0.011,-0.010,-32.252,151.637,-11.136
11:48:02:587,0.276,0.001,0.003,-0.014,-32.307,151.646,-11.156
11:48:02:611,0.300,0.003,0.013,0.001,-32.341,151.662,-11.180
11:48:02:652,0.341,-0.004,0.014,-0.007,-32.353,151.683,-11.281
11:48:02:702,0.390,-0.004,0.007,-0.005,-32.401,151.671,-11.252
11:48:02:724,0.412,0.002,0.022,-0.021,-32.361,151.657,-11.266
11:48:02:787,0.475,-0.007,-0.012,0.010,-32.292,151.657,-11.227
11:48:02:798,0.486,-0.022,-0.010,-0.005,-32.262,151.636,-11.239
11:48:02:838,0.526,0.006,-0.013,0.003,-32.295,151.648,-11.165
11:48:02:889,0.577,0.002,-0.003,-0.006,-32.317,151.726,-11.311
11:48:02:89,0.578,0.005,0.012,0.000,-32.346,151.769,-11.328
11:48:02:911,0.599,0.001,-0.006,-0.009,-32.337,151.729,-11.236
11:48:02:974,0.662,0.010,0.002,0.004,-32.353,151.773,-11.232
11:48:02:986,0.674,0.004,0.011,-0.003,-32.330,151.781,-11.266
11:48:03:025,0.713,0.006,0.002,-0.002,-32.273,151.767,-11.230
11:48:03:062,0.750,0.009,0.005,0.005,-32.265,151.766,-11.200
11:48:03:075,0.763,0.002,0.009,0.001,-32.268,151.771,-11.216
11:48:03:116,0.804,-0.002,0.007,-0.010,-32.264,151.767,-11.230
11:48:03:117,0.805,-0.008,0.010,-0.006,-32.236,151.750,-11.227
11:48:03:192,0.881,-0.008,-0.002,-0.007,-32.191,151.771,-11.237
11:48:03:192,0.881,-0.009,0.003,-0.007,-32.152,151.780,-11.229
11:48:03:193,0.882,0.002,-0.010,0.008,-32.114,151.788,-11.130
11:48:03:251,0.939,0.002,0.016,-0.007,-32.010,151.953,-11.384
11:48:03:314,1.002,0.015,-0.012,0.021,-32.038,151.988,-11.369
