Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
15:25:05:819,0.000,0.010,-0.005,0.002,25.241,126.725,-8.375
15:25:05:844,0.025,0.017,0.002,-0.004,25.247,126.717,-8.379
15:25:05:869,0.050,0.019,0.009,0.009,25.276,126.695,-8.387
15:25:05:895,0.076,0.010,0.015,0.009,25.293,126.708,-8.382
15:25:05:919,0.100,0.015,0.003,0.021,25.323,126.754,-8.330
15:25:05:945,0.126,0.016,0.010,0.012,25.340,126.793,-8.289
15:25:05:97,0.150,0.009,0.003,-0.003,25.346,126.840,-8.302
15:25:06:007,0.187,0.012,0.006,0.000,25.360,126.901,-8.329
15:25:06:02,0.200,0.021,0.017,0.014,25.384,126.921,-8.326
15:25:06:044,0.225,0.003,0.027,0.003,25.409,126.947,-8.291
15:25:06:094,0.275,-0.008,0.021,-0.008,25.414,126.984,-8.299
15:25:06:106,0.287,0.010,0.012,0.006,25.412,127.012,-8.306
15:25:06:157,0.338,0.001,0.010,-0.027,25.414,127.014,-8.387
15:25:06:195,0.376,0.007,0.006,-0.012,25.419,126.973,-8.428
15:25:06:235,0.416,-0.006,0.023,-0.014,25.418,126.931,-8.483
15:25:06:235,0.416,-0.011,0.014,-0.012,25.419,126.871,-8.542
15:25:06:282,0.462,0.013,0.005,0.012,25.371,126.800,-8.550
15:25:06:294,0.475,-0.004,0.008,-0.032,25.343,126.824,-8.594
15:25:06:473,0.654,-0.007,0.014,-0.019,25.314,126.789,-8.474
15:25:06:523,0.704,0.008,0.007,-0.006,25.314,126.747,-8.499
15:25:06:523,0.704,0.009,-0.002,0.003,25.306,126.708,-8.505
15:25:06:558,0.739,-0.007,0.004,-0.021,25.306,126.725,-8.501
15:25:06:57,0.751,0.010,0.001,-0.001,25.308,126.726,-8.494
15:25:06:698,0.879,0.017,0.004,0.006,25.397,126.623,-8.424
15:25:06:748,0.929,-0.002,0.025,-0.002,25.475,126.610,-8.395
15:25:06:835,1.016,0.007,0.017,-0.021,25.505,126.500,-8.336
