Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
10:08:32:218,0.000,0.007,-0.003,0.010,13.161,-36.149,0.640
10:08:32:218,0.000,-0.003,-0.014,0.009,13.141,-36.149,0.644
10:08:32:219,0.001,-0.004,-0.004,0.006,13.138,-36.146,0.666
10:08:32:22,0.002,0.011,-0.004,0.012,13.154,-36.149,0.642
10:08:32:281,0.063,0.003,-0.001,0.004,13.150,-36.155,0.656
10:08:32:281,0.063,0.011,0.007,0.012,13.143,-36.154,0.657
10:08:32:282,0.064,0.003,-0.001,0.009,13.143,-36.154,0.657
10:08:32:282,0.064,-0.002,-0.007,-0.003,13.131,-36.162,0.709
10:08:32:344,0.126,0.002,-0.007,-0.004,13.104,-36.169,0.713
10:08:32:344,0.126,0.000,0.001,-0.004,13.104,-36.169,0.713
10:08:32:345,0.127,-0.008,-0.002,0.000,13.104,-36.169,0.713
10:08:32:346,0.128,-0.006,0.006,-0.001,13.090,-36.169,0.715
10:08:32:394,0.176,-0.002,-0.013,-0.003,13.038,-36.169,0.703
10:08:32:931,0.713,0.000,-0.018,-0.004,12.850,-36.212,0.224
10:08:32:932,0.714,-0.003,0.004,-0.007,12.873,-36.231,0.189
10:08:32:932,0.714,0.007,-0.006,0.004,13.050,-36.152,-0.521
10:08:33:139,0.921,0.003,-0.003,-0.001,13.061,-36.202,-0.586
10:08:33:139,0.921,-0.004,0.002,0.003,13.069,-36.262,-0.665
10:08:33:14,0.922,-0.001,-0.020,0.000,13.088,-36.298,-0.723
10:08:33:268,1.050,-0.004,-0.003,0.001,13.239,-36.412,-1.050
10:08:33:268,1.050,0.001,0.001,0.007,13.244,-36.426,-1.103
10:08:33:269,1.051,0.006,0.000,0.009,13.267,-36.467,-1.212
10:08:33:393,1.176,0.005,0.000,0.003,13.262,-36.485,-1.242
10:08:33:394,1.177,0.001,-0.014,0.001,13.240,-36.485,-1.245
10:08:33:395,1.177,0.003,-0.019,0.005,13.213,-36.495,-1.277
10:08:33:395,1.178,-0.003,-0.006,0.005,13.403,-36.610,-1.226
10:08:33:47,1.253,-0.010,0.008,-0.002,13.662,-36.730,-1.146
10:08:33:669,1.451,0.007,0.006,0.009,13.497,-36.750,-0.874
10:08:33:669,1.451,0.001,-0.012,0.003,13.494,-36.756,-0.810
10:08:33:669,1.451,0.010,-0.025,0.001,13.453,-36.765,-0.767
10:08:34:298,2.080,0.013,-0.012,0.008,13.463,-36.796,-0.672
10:08:34:884,2.666,0.002,-0.012,0.000,13.527,-36.841,-0.676
10:08:35:094,2.876,0.006,-0.002,-0.004,13.587,-36.928,-0.669
10:08:35:169,2.951,-0.003,-0.008,-0.014,13.633,-36.966,-0.618
10:08:35:169,2.951,-0.013,0.002,-0.005,13.669,-37.011,-0.623
10:08:35:17,2.952,-0.016,-0.016,-0.010,13.753,-37.068,-0.602
10:08:35:17,2.952,-0.021,-0.033,-0.019,13.753,-37.061,-0.487
10:08:35:573,3.355,0.028,0.005,0.016,13.805,-36.809,-0.337
10:08:35:584,3.366,-0.002,0.029,0.015,13.986,-36.763,-0.165
10:08:35:635,3.417,0.010,0.043,0.013,14.061,-36.738,-0.068
10:08:35:636,3.418,0.017,0.038,0.028,14.093,-36.686,-0.046
10:08:35:646,3.428,0.025,0.027,0.032,14.083,-36.679,-0.101
10:08:35:769,3.551,0.028,0.011,0.021,14.038,-36.692,-0.108
10:08:35:769,3.551,0.021,0.006,0.023,13.977,-36.753,-0.140
10:08:35:769,3.551,0.009,-0.016,0.009,13.945,-36.838,-0.202
10:08:35:77,3.552,0.006,-0.025,-0.002,13.858,-36.942,-0.141
10:08:35:784,3.566,0.005,-0.037,0.010,13.789,-36.994,-0.098
10:08:35:82,3.602,0.016,-0.028,0.016,13.750,-37.101,-0.161
10:08:35:882,3.664,0.009,-0.050,-0.006,13.727,-37.237,-0.109
10:08:35:918,3.700,-0.013,-0.025,-0.014,13.731,-37.321,-0.026
10:08:35:918,3.700,-0.008,0.008,-0.017,14.090,-38.338,0.354
10:08:35:919,3.701,0.006,-0.006,0.012,14.081,-37.182,0.469
10:08:35:92,3.702,-0.029,0.014,-0.021,14.468,-37.637,-0.115
10:08:35:98,3.762,-0.005,-0.008,-0.012,14.434,-37.541,-0.276
10:08:35:98,3.762,-0.003,-0.008,0.004,14.415,-37.467,-0.255
10:08:35:98,3.762,0.006,-0.004,0.006,14.454,-37.417,-0.307
10:08:35:995,3.778,0.006,-0.013,0.005,14.524,-36.882,-0.604
